county,precinct,office,candidate,votes,district
Carson City,113,Governor,Robert Goodman,134,
Carson City,113,Governor,None Of These Candidates,35,
Carson City,113,Governor,Brian Sandoval,739,
Carson City,113,Governor,David Vanderbeek,31,
Carson City,113,State House,Dave Cook,274,40
Carson City,113,State House,Philip O'Neill,588,40
Carson City,113,State House,John Wagner,61,40
Carson City,113,State Senate,John Everhart,57,16
Carson City,113,State Senate,Michael Kelley,256,16
Carson City,113,State Senate,Ben Kieckhefer,608,16
Carson City,113,U.S. House,Mark Amodei,659,2
Carson City,113,U.S. House,Janine Hansen,40,2
Carson City,113,U.S. House,Kristen Spees,235,2
Carson City,201,Attorney General,Jonathan Hansen,40,
Carson City,201,Attorney General,Adam Laxalt,191,
Carson City,201,Attorney General,Ross Miller,195,
Carson City,201,Attorney General,None Of These Candidates,14,
Carson City,201,Governor,Robert Goodman,70,
Carson City,201,Governor,None Of These Candidates,15,
Carson City,201,Governor,Brian Sandoval,334,
Carson City,201,Governor,David Vanderbeek,23,
Carson City,201,State House,Dave Cook,139,40
Carson City,201,State House,Philip O'Neill,249,40
Carson City,201,State House,John Wagner,47,40
Carson City,201,State Senate,John Everhart,57,16
Carson City,201,State Senate,Michael Kelley,136,16
Carson City,201,State Senate,Ben Kieckhefer,242,16
Carson City,201,U.S. House,Mark Amodei,286,2
Carson City,201,U.S. House,Janine Hansen,38,2
Carson City,201,U.S. House,Kristen Spees,115,2
Carson City,203,Attorney General,Jonathan Hansen,26,
Carson City,203,Attorney General,Adam Laxalt,291,
Carson City,203,Attorney General,Ross Miller,322,
Carson City,203,Attorney General,None Of These Candidates,27,
Carson City,203,Governor,Robert Goodman,137,
Carson City,203,Governor,None Of These Candidates,31,
Carson City,203,Governor,Brian Sandoval,479,
Carson City,203,Governor,David Vanderbeek,22,
Carson City,203,State House,Dave Cook,263,40
Carson City,203,State House,Philip O'Neill,338,40
Carson City,203,State House,John Wagner,60,40
Carson City,203,State Senate,John Everhart,59,16
Carson City,203,State Senate,Michael Kelley,242,16
Carson City,203,State Senate,Ben Kieckhefer,355,16
Carson City,203,U.S. House,Mark Amodei,404,2
Carson City,203,U.S. House,Janine Hansen,43,2
Carson City,203,U.S. House,Kristen Spees,223,2
Carson City,205,Attorney General,Jonathan Hansen,41,
Carson City,205,Attorney General,Adam Laxalt,346,
Carson City,205,Attorney General,Ross Miller,270,
Carson City,205,Attorney General,None Of These Candidates,14,
Carson City,205,Governor,Robert Goodman,113,
Carson City,205,Governor,None Of These Candidates,22,
Carson City,205,Governor,Brian Sandoval,515,
Carson City,205,Governor,David Vanderbeek,27,
Carson City,205,State House,Dave Cook,189,40
Carson City,205,State House,Philip O'Neill,437,40
Carson City,205,State House,John Wagner,44,40
Carson City,205,State Senate,John Everhart,47,16
Carson City,205,State Senate,Michael Kelley,189,16
Carson City,205,State Senate,Ben Kieckhefer,429,16
Carson City,205,U.S. House,Mark Amodei,460,2
Carson City,205,U.S. House,Janine Hansen,30,2
Carson City,205,U.S. House,Kristen Spees,187,2
Carson City,207,Attorney General,Jonathan Hansen,46,
Carson City,207,Attorney General,Adam Laxalt,293,
Carson City,207,Attorney General,Ross Miller,246,
Carson City,207,Attorney General,None Of These Candidates,27,
Carson City,207,Governor,Robert Goodman,99,
Carson City,207,Governor,None Of These Candidates,16,
Carson City,207,Governor,Brian Sandoval,462,
Carson City,207,Governor,David Vanderbeek,34,
Carson City,207,State House,Dave Cook,184,40
Carson City,207,State House,Philip O'Neill,356,40
Carson City,207,State House,John Wagner,59,40
Carson City,207,State Senate,John Everhart,67,16
Carson City,207,State Senate,Michael Kelley,196,16
Carson City,207,State Senate,Ben Kieckhefer,338,16
Carson City,207,U.S. House,Mark Amodei,399,2
Carson City,207,U.S. House,Janine Hansen,42,2
Carson City,207,U.S. House,Kristen Spees,167,2
Carson City,209,Attorney General,Jonathan Hansen,42,
Carson City,209,Attorney General,Adam Laxalt,199,
Carson City,209,Attorney General,Ross Miller,173,
Carson City,209,Attorney General,None Of These Candidates,18,
Carson City,209,Governor,Robert Goodman,83,
Carson City,209,Governor,None Of These Candidates,19,
Carson City,209,Governor,Brian Sandoval,308,
Carson City,209,Governor,David Vanderbeek,21,
Carson City,209,State House,Dave Cook,142,40
Carson City,209,State House,Philip O'Neill,237,40
Carson City,209,State House,John Wagner,50,40
Carson City,209,State Senate,John Everhart,51,16
Carson City,209,State Senate,Michael Kelley,140,16
Carson City,209,State Senate,Ben Kieckhefer,237,16
Carson City,209,U.S. House,Mark Amodei,270,2
Carson City,209,U.S. House,Janine Hansen,36,2
Carson City,209,U.S. House,Kristen Spees,125,2
Carson City,211,Attorney General,Jonathan Hansen,34,
Carson City,211,Attorney General,Adam Laxalt,265,
Carson City,211,Attorney General,Ross Miller,184,
Carson City,211,Attorney General,None Of These Candidates,10,
Carson City,211,Governor,Robert Goodman,69,
Carson City,211,Governor,None Of These Candidates,12,
Carson City,211,Governor,Brian Sandoval,397,
Carson City,211,Governor,David Vanderbeek,16,
Carson City,211,State House,Dave Cook,122,40
Carson City,211,State House,Philip O'Neill,314,40
Carson City,211,State House,John Wagner,41,40
Carson City,211,State Senate,John Everhart,45,16
Carson City,211,State Senate,Michael Kelley,112,16
Carson City,211,State Senate,Ben Kieckhefer,322,16
Carson City,211,U.S. House,Mark Amodei,365,2
Carson City,211,U.S. House,Janine Hansen,36,2
Carson City,211,U.S. House,Kristen Spees,93,2
Carson City,301,Attorney General,Jonathan Hansen,35,
Carson City,301,Attorney General,Adam Laxalt,235,
Carson City,301,Attorney General,Ross Miller,188,
Carson City,301,Attorney General,None Of These Candidates,13,
Carson City,301,Governor,Robert Goodman,71,
Carson City,301,Governor,None Of These Candidates,17,
Carson City,301,Governor,Brian Sandoval,363,
Carson City,301,Governor,David Vanderbeek,18,
Carson City,301,State House,Dave Cook,136,40
Carson City,301,State House,Philip O'Neill,285,40
Carson City,301,State House,John Wagner,41,40
Carson City,301,State Senate,John Everhart,38,16
Carson City,301,State Senate,Michael Kelley,133,16
Carson City,301,State Senate,Ben Kieckhefer,293,16
Carson City,301,U.S. House,Mark Amodei,325,2
Carson City,301,U.S. House,Janine Hansen,27,2
Carson City,301,U.S. House,Kristen Spees,118,2
Carson City,303,Attorney General,Jonathan Hansen,27,
Carson City,303,Attorney General,Adam Laxalt,209,
Carson City,303,Attorney General,Ross Miller,245,
Carson City,303,Attorney General,None Of These Candidates,19,
Carson City,303,Governor,Robert Goodman,77,
Carson City,303,Governor,None Of These Candidates,18,
Carson City,303,Governor,Brian Sandoval,393,
Carson City,303,Governor,David Vanderbeek,16,
Carson City,303,State House,Dave Cook,172,40
Carson City,303,State House,Philip O'Neill,289,40
Carson City,303,State House,John Wagner,34,40
Carson City,303,State Senate,John Everhart,39,16
Carson City,303,State Senate,Michael Kelley,173,16
Carson City,303,State Senate,Ben Kieckhefer,277,16
Carson City,303,U.S. House,Mark Amodei,323,2
Carson City,303,U.S. House,Janine Hansen,29,2
Carson City,303,U.S. House,Kristen Spees,149,2
Carson City,305,Attorney General,Jonathan Hansen,36,
Carson City,305,Attorney General,Adam Laxalt,341,
Carson City,305,Attorney General,Ross Miller,353,
Carson City,305,Attorney General,None Of These Candidates,29,
Carson City,305,Governor,Robert Goodman,106,
Carson City,305,Governor,None Of These Candidates,25,
Carson City,305,Governor,Brian Sandoval,608,
Carson City,305,Governor,David Vanderbeek,26,
Carson City,305,State House,Dave Cook,204,40
Carson City,305,State House,Philip O'Neill,491,40
Carson City,305,State House,John Wagner,55,40
Carson City,305,State Senate,John Everhart,62,16
Carson City,305,State Senate,Michael Kelley,210,16
Carson City,305,State Senate,Ben Kieckhefer,471,16
Carson City,305,U.S. House,Mark Amodei,537,2
Carson City,305,U.S. House,Janine Hansen,43,2
Carson City,305,U.S. House,Kristen Spees,184,2
Carson City,307,Attorney General,Jonathan Hansen,49,
Carson City,307,Attorney General,Adam Laxalt,346,
Carson City,307,Attorney General,Ross Miller,289,
Carson City,307,Attorney General,None Of These Candidates,29,
Carson City,307,Governor,Robert Goodman,117,
Carson City,307,Governor,None Of These Candidates,36,
Carson City,307,Governor,Brian Sandoval,533,
Carson City,307,Governor,David Vanderbeek,30,
Carson City,307,State House,Dave Cook,227,40
Carson City,307,State House,Philip O'Neill,413,40
Carson City,307,State House,John Wagner,59,40
Carson City,307,State Senate,John Everhart,68,16
Carson City,307,State Senate,Michael Kelley,216,16
Carson City,307,State Senate,Ben Kieckhefer,413,16
Carson City,307,U.S. House,Mark Amodei,487,2
Carson City,307,U.S. House,Janine Hansen,43,2
Carson City,307,U.S. House,Kristen Spees,183,2
Carson City,309,Attorney General,Jonathan Hansen,42,
Carson City,309,Attorney General,Adam Laxalt,518,
Carson City,309,Attorney General,Ross Miller,432,
Carson City,309,Attorney General,None Of These Candidates,25,
Carson City,309,Governor,Robert Goodman,119,
Carson City,309,Governor,None Of These Candidates,60,
Carson City,309,Governor,Brian Sandoval,809,
Carson City,309,Governor,David Vanderbeek,32,
Carson City,309,State House,Dave Cook,249,40
Carson City,309,State House,Philip O'Neill,680,40
Carson City,309,State House,John Wagner,62,40
Carson City,309,State Senate,John Everhart,71,16
Carson City,309,State Senate,Michael Kelley,251,16
Carson City,309,State Senate,Ben Kieckhefer,667,16
Carson City,309,U.S. House,Mark Amodei,728,2
Carson City,309,U.S. House,Janine Hansen,51,2
Carson City,309,U.S. House,Kristen Spees,232,2
Carson City,401,Attorney General,Jonathan Hansen,23,
Carson City,401,Attorney General,Adam Laxalt,190,
Carson City,401,Attorney General,Ross Miller,214,
Carson City,401,Attorney General,None Of These Candidates,9,
Carson City,401,Governor,Robert Goodman,69,
Carson City,401,Governor,None Of These Candidates,13,
Carson City,401,Governor,Brian Sandoval,339,
Carson City,401,Governor,David Vanderbeek,15,
Carson City,401,State House,Dave Cook,154,40
Carson City,401,State House,Philip O'Neill,241,40
Carson City,401,State House,John Wagner,32,40
Carson City,401,State Senate,John Everhart,40,16
Carson City,401,State Senate,Michael Kelley,137,16
Carson City,401,State Senate,Ben Kieckhefer,250,16
Carson City,401,U.S. House,Mark Amodei,274,2
Carson City,401,U.S. House,Janine Hansen,25,2
Carson City,401,U.S. House,Kristen Spees,136,2
Carson City,403,Attorney General,Jonathan Hansen,69,
Carson City,403,Attorney General,Adam Laxalt,323,
Carson City,403,Attorney General,Ross Miller,319,
Carson City,403,Attorney General,None Of These Candidates,23,
Carson City,403,Governor,Robert Goodman,142,
Carson City,403,Governor,None Of These Candidates,32,
Carson City,403,Governor,Brian Sandoval,534,
Carson City,403,Governor,David Vanderbeek,28,
Carson City,403,State House,Dave Cook,273,40
Carson City,403,State House,Philip O'Neill,388,40
Carson City,403,State House,John Wagner,63,40
Carson City,403,State Senate,John Everhart,79,16
Carson City,403,State Senate,Michael Kelley,262,16
Carson City,403,State Senate,Ben Kieckhefer,384,16
Carson City,403,U.S. House,Mark Amodei,432,2
Carson City,403,U.S. House,Janine Hansen,48,2
Carson City,403,U.S. House,Kristen Spees,254,2
Carson City,405,Attorney General,Jonathan Hansen,39,
Carson City,405,Attorney General,Adam Laxalt,291,
Carson City,405,Attorney General,Ross Miller,268,
Carson City,405,Attorney General,None Of These Candidates,19,
Carson City,405,Governor,Robert Goodman,110,
Carson City,405,Governor,None Of These Candidates,21,
Carson City,405,Governor,Brian Sandoval,463,
Carson City,405,Governor,David Vanderbeek,24,
Carson City,405,State House,Dave Cook,204,40
Carson City,405,State House,Philip O'Neill,357,40
Carson City,405,State House,John Wagner,47,40
Carson City,405,State Senate,John Everhart,51,16
Carson City,405,State Senate,Michael Kelley,194,16
Carson City,405,State Senate,Ben Kieckhefer,364,16
Carson City,405,U.S. House,Mark Amodei,403,2
Carson City,405,U.S. House,Janine Hansen,37,2
Carson City,405,U.S. House,Kristen Spees,174,2
Carson City,407,Attorney General,Jonathan Hansen,40,
Carson City,407,Attorney General,Adam Laxalt,313,
Carson City,407,Attorney General,Ross Miller,195,
Carson City,407,Attorney General,None Of These Candidates,18,
Carson City,407,Governor,Robert Goodman,74,
Carson City,407,Governor,None Of These Candidates,27,
Carson City,407,Governor,Brian Sandoval,449,
Carson City,407,Governor,David Vanderbeek,17,
Carson City,407,State House,Dave Cook,129,40
Carson City,407,State House,Philip O'Neill,383,40
Carson City,407,State House,John Wagner,38,40
Carson City,407,State Senate,John Everhart,51,16
Carson City,407,State Senate,Michael Kelley,115,16
Carson City,407,State Senate,Ben Kieckhefer,383,16
Carson City,407,U.S. House,Mark Amodei,410,2
Carson City,407,U.S. House,Janine Hansen,39,2
Carson City,407,U.S. House,Kristen Spees,111,2
Carson City,409,Attorney General,Jonathan Hansen,34,
Carson City,409,Attorney General,Adam Laxalt,299,
Carson City,409,Attorney General,Ross Miller,417,
Carson City,409,Attorney General,None Of These Candidates,16,
Carson City,409,Governor,Robert Goodman,152,
Carson City,409,Governor,None Of These Candidates,31,
Carson City,409,Governor,Brian Sandoval,568,
Carson City,409,Governor,David Vanderbeek,15,
Carson City,409,State House,Dave Cook,286,40
Carson City,409,State House,Philip O'Neill,422,40
Carson City,409,State House,John Wagner,40,40
Carson City,409,State Senate,John Everhart,47,16
Carson City,409,State Senate,Michael Kelley,276,16
Carson City,409,State Senate,Ben Kieckhefer,423,16
Carson City,409,U.S. House,Mark Amodei,466,2
Carson City,409,U.S. House,Janine Hansen,36,2
Carson City,409,U.S. House,Kristen Spees,259,2
Carson City,411,Attorney General,Jonathan Hansen,24,
Carson City,411,Attorney General,Adam Laxalt,267,
Carson City,411,Attorney General,Ross Miller,221,
Carson City,411,Attorney General,None Of These Candidates,17,
Carson City,411,Governor,Robert Goodman,69,
Carson City,411,Governor,None Of These Candidates,22,
Carson City,411,Governor,Brian Sandoval,431,
Carson City,411,Governor,David Vanderbeek,7,
Carson City,411,State House,Dave Cook,130,40
Carson City,411,State House,Philip O'Neill,358,40
Carson City,411,State House,John Wagner,36,40
Carson City,411,State Senate,John Everhart,31,16
Carson City,411,State Senate,Michael Kelley,124,16
Carson City,411,State Senate,Ben Kieckhefer,369,16
Carson City,411,U.S. House,Mark Amodei,387,2
Carson City,411,U.S. House,Janine Hansen,23,2
Carson City,411,U.S. House,Kristen Spees,121,2
Carson City,997,U.S. House,Mark Amodei,,2
Carson City,997,U.S. House,Janine Hansen,,2
Carson City,997,U.S. House,Kristen Spees,,2
Carson City,999,U.S. House,Mark Amodei,0,2
Carson City,999,U.S. House,Janine Hansen,0,2
Carson City,999,U.S. House,Kristen Spees,0,2
Churchill,01,Attorney General,Jonathan Hansen,39,
Churchill,01,Attorney General,Adam Laxalt,298,
Churchill,01,Attorney General,Ross Miller,104,
Churchill,01,Attorney General,None Of These Candidates,25,
Churchill,01,Governor,Robert Goodman,40,
Churchill,01,Governor,None Of These Candidates,5,
Churchill,01,Governor,Brian Sandoval,402,
Churchill,01,Governor,David Vanderbeek,18,
Churchill,01,State House,Tim Fasano,40,38
Churchill,01,State House,John O'Connor,43,38
Churchill,01,State House,Robin Titus,365,38
Churchill,01,State Senate,James Settelmeyer,425,17
Churchill,01,U.S. House,Mark Amodei,355,2
Churchill,01,U.S. House,Janine Hansen,45,2
Churchill,01,U.S. House,Kristen Spees,64,2
Churchill,02,Attorney General,Jonathan Hansen,22,
Churchill,02,Attorney General,Adam Laxalt,196,
Churchill,02,Attorney General,Ross Miller,98,
Churchill,02,Attorney General,None Of These Candidates,15,
Churchill,02,Governor,Robert Goodman,39,
Churchill,02,Governor,None Of These Candidates,9,
Churchill,02,Governor,Brian Sandoval,274,
Churchill,02,Governor,David Vanderbeek,12,
Churchill,02,State House,Tim Fasano,36,38
Churchill,02,State House,John O'Connor,26,38
Churchill,02,State House,Robin Titus,251,38
Churchill,02,State Senate,James Settelmeyer,298,17
Churchill,02,U.S. House,Mark Amodei,241,2
Churchill,02,U.S. House,Janine Hansen,29,2
Churchill,02,U.S. House,Kristen Spees,61,2
Churchill,03,Attorney General,Jonathan Hansen,29,
Churchill,03,Attorney General,Adam Laxalt,165,
Churchill,03,Attorney General,Ross Miller,87,
Churchill,03,Attorney General,None Of These Candidates,15,
Churchill,03,Governor,Robert Goodman,28,
Churchill,03,Governor,None Of These Candidates,11,
Churchill,03,Governor,Brian Sandoval,243,
Churchill,03,Governor,David Vanderbeek,15,
Churchill,03,State House,Tim Fasano,47,38
Churchill,03,State House,John O'Connor,25,38
Churchill,03,State House,Robin Titus,213,38
Churchill,03,State Senate,James Settelmeyer,271,17
Churchill,03,U.S. House,Mark Amodei,211,2
Churchill,03,U.S. House,Janine Hansen,35,2
Churchill,03,U.S. House,Kristen Spees,49,2
Churchill,04,Attorney General,Jonathan Hansen,29,
Churchill,04,Attorney General,Adam Laxalt,189,
Churchill,04,Attorney General,Ross Miller,85,
Churchill,04,Attorney General,None Of These Candidates,9,
Churchill,04,Governor,Robert Goodman,35,
Churchill,04,Governor,None Of These Candidates,4,
Churchill,04,Governor,Brian Sandoval,257,
Churchill,04,Governor,David Vanderbeek,17,
Churchill,04,State House,Tim Fasano,45,38
Churchill,04,State House,John O'Connor,34,38
Churchill,04,State House,Robin Titus,221,38
Churchill,04,State Senate,James Settelmeyer,280,17
Churchill,04,U.S. House,Mark Amodei,218,2
Churchill,04,U.S. House,Janine Hansen,33,2
Churchill,04,U.S. House,Kristen Spees,60,2
Churchill,05,Attorney General,Jonathan Hansen,23,
Churchill,05,Attorney General,Adam Laxalt,143,
Churchill,05,Attorney General,Ross Miller,80,
Churchill,05,Attorney General,None Of These Candidates,12,
Churchill,05,Governor,Robert Goodman,30,
Churchill,05,Governor,None Of These Candidates,4,
Churchill,05,Governor,Brian Sandoval,206,
Churchill,05,Governor,David Vanderbeek,20,
Churchill,05,State House,Tim Fasano,37,38
Churchill,05,State House,John O'Connor,34,38
Churchill,05,State House,Robin Titus,181,38
Churchill,05,State Senate,James Settelmeyer,240,17
Churchill,05,U.S. House,Mark Amodei,184,2
Churchill,05,U.S. House,Janine Hansen,28,2
Churchill,05,U.S. House,Kristen Spees,47,2
Churchill,06,Attorney General,Jonathan Hansen,27,
Churchill,06,Attorney General,Adam Laxalt,182,
Churchill,06,Attorney General,Ross Miller,88,
Churchill,06,Attorney General,None Of These Candidates,16,
Churchill,06,Governor,Robert Goodman,39,
Churchill,06,Governor,None Of These Candidates,6,
Churchill,06,Governor,Brian Sandoval,265,
Churchill,06,Governor,David Vanderbeek,7,
Churchill,06,State House,Tim Fasano,34,38
Churchill,06,State House,John O'Connor,21,38
Churchill,06,State House,Robin Titus,240,38
Churchill,06,State Senate,James Settelmeyer,280,17
Churchill,06,U.S. House,Mark Amodei,231,2
Churchill,06,U.S. House,Janine Hansen,18,2
Churchill,06,U.S. House,Kristen Spees,67,2
Churchill,07,Attorney General,Jonathan Hansen,42,
Churchill,07,Attorney General,Adam Laxalt,310,
Churchill,07,Attorney General,Ross Miller,117,
Churchill,07,Attorney General,None Of These Candidates,25,
Churchill,07,Governor,Robert Goodman,53,
Churchill,07,Governor,None Of These Candidates,8,
Churchill,07,Governor,Brian Sandoval,426,
Churchill,07,Governor,David Vanderbeek,10,
Churchill,07,State House,Tim Fasano,42,38
Churchill,07,State House,John O'Connor,31,38
Churchill,07,State House,Robin Titus,406,38
Churchill,07,State Senate,James Settelmeyer,439,17
Churchill,07,U.S. House,Mark Amodei,396,2
Churchill,07,U.S. House,Janine Hansen,19,2
Churchill,07,U.S. House,Kristen Spees,80,2
Churchill,08,Attorney General,Jonathan Hansen,27,
Churchill,08,Attorney General,Adam Laxalt,153,
Churchill,08,Attorney General,Ross Miller,63,
Churchill,08,Attorney General,None Of These Candidates,7,
Churchill,08,Governor,Robert Goodman,32,
Churchill,08,Governor,None Of These Candidates,6,
Churchill,08,Governor,Brian Sandoval,207,
Churchill,08,Governor,David Vanderbeek,8,
Churchill,08,State House,Tim Fasano,35,38
Churchill,08,State House,John O'Connor,29,38
Churchill,08,State House,Robin Titus,175,38
Churchill,08,State Senate,James Settelmeyer,228,17
Churchill,08,U.S. House,Mark Amodei,167,2
Churchill,08,U.S. House,Janine Hansen,35,2
Churchill,08,U.S. House,Kristen Spees,50,2
Churchill,09,Attorney General,Jonathan Hansen,24,
Churchill,09,Attorney General,Adam Laxalt,207,
Churchill,09,Attorney General,Ross Miller,73,
Churchill,09,Attorney General,None Of These Candidates,16,
Churchill,09,Governor,Robert Goodman,26,
Churchill,09,Governor,None Of These Candidates,9,
Churchill,09,Governor,Brian Sandoval,271,
Churchill,09,Governor,David Vanderbeek,14,
Churchill,09,State House,Tim Fasano,32,38
Churchill,09,State House,John O'Connor,22,38
Churchill,09,State House,Robin Titus,255,38
Churchill,09,State Senate,James Settelmeyer,289,17
Churchill,09,U.S. House,Mark Amodei,260,2
Churchill,09,U.S. House,Janine Hansen,25,2
Churchill,09,U.S. House,Kristen Spees,35,2
Churchill,10,Attorney General,Jonathan Hansen,53,
Churchill,10,Attorney General,Adam Laxalt,353,
Churchill,10,Attorney General,Ross Miller,145,
Churchill,10,Attorney General,None Of These Candidates,22,
Churchill,10,Governor,Robert Goodman,38,
Churchill,10,Governor,None Of These Candidates,12,
Churchill,10,Governor,Brian Sandoval,511,
Churchill,10,Governor,David Vanderbeek,15,
Churchill,10,State House,Tim Fasano,57,38
Churchill,10,State House,John O'Connor,39,38
Churchill,10,State House,Robin Titus,458,38
Churchill,10,State Senate,James Settelmeyer,530,17
Churchill,10,U.S. House,Mark Amodei,449,2
Churchill,10,U.S. House,Janine Hansen,44,2
Churchill,10,U.S. House,Kristen Spees,78,2
Churchill,11,Attorney General,Jonathan Hansen,52,
Churchill,11,Attorney General,Adam Laxalt,351,
Churchill,11,Attorney General,Ross Miller,146,
Churchill,11,Attorney General,None Of These Candidates,25,
Churchill,11,Governor,Robert Goodman,40,
Churchill,11,Governor,None Of These Candidates,7,
Churchill,11,Governor,Brian Sandoval,507,
Churchill,11,Governor,David Vanderbeek,19,
Churchill,11,State House,Tim Fasano,58,38
Churchill,11,State House,John O'Connor,45,38
Churchill,11,State House,Robin Titus,438,38
Churchill,11,State Senate,James Settelmeyer,505,17
Churchill,11,U.S. House,Mark Amodei,450,2
Churchill,11,U.S. House,Janine Hansen,51,2
Churchill,11,U.S. House,Kristen Spees,70,2
Churchill,12,Attorney General,Jonathan Hansen,14,
Churchill,12,Attorney General,Adam Laxalt,135,
Churchill,12,Attorney General,Ross Miller,40,
Churchill,12,Attorney General,None Of These Candidates,11,
Churchill,12,Governor,Robert Goodman,15,
Churchill,12,Governor,None Of These Candidates,5,
Churchill,12,Governor,Brian Sandoval,174,
Churchill,12,Governor,David Vanderbeek,7,
Churchill,12,State House,Tim Fasano,16,38
Churchill,12,State House,John O'Connor,20,38
Churchill,12,State House,Robin Titus,153,38
