candidate,party,percent,votes,office
"LOESCHE VICTOR E. , JR",NP,16.34%,203,Topaz Ranch Estates G. I. D.
Yes,,44.56%,"10,409",STATE QUESTION 1
No,,53.17%,"12,418",STATE QUESTION 1
Yes,,39.27%,"9,170",STATE QUESTION 2
No,,58.38%,"13,634",STATE QUESTION 2
Yes,,66.38%,"15,597",STATE QUESTION 3
No,,31.61%,"7,427",STATE QUESTION 3
Yes,,25.47%,"5,972",STATE QUESTION 4
No,,72.53%,"17,007",STATE QUESTION 4
Yes,,27.24%,"6,410",STATE QUESTION 5
No,,70.98%,"16,705",STATE QUESTION 5
Yes,,60.78%,"14,320",STATE QUESTION 6
No,,37.99%,"8,952",STATE QUESTION 6
