candidate,party,percent,votes,office
No,,64.55%,"9,600",STATE QUESTION 4
Yes,,39.64%,"5,893",STATE QUESTION 5
No,,60.36%,"8,973",STATE QUESTION 5
Yes,,61.35%,"9,183",STATE QUESTION 6
No,,38.65%,"5,785",STATE QUESTION 6
Yes,,49.33%,"7,190",STATE QUESTION 7
No,,50.67%,"7,384",STATE QUESTION 7
Yes,,35.74%,"5,149",STATE QUESTION 8
No,,64.26%,"9,259",STATE QUESTION 8
Yes,,60.85%,"8,613",ELKO COUNTY ADVISORY QUESTION #1
No,,39.15%,"5,542",ELKO COUNTY ADVISORY QUESTION #1
Yes,,32.62%,"4,763",ELKO COUNTY BALLOT QUESTION #2
No,,67.38%,"9,839",ELKO COUNTY BALLOT QUESTION #2
