candidate,party,percent,votes,office
"PAYNE-DEDMON, DEBRA CAREN",LIB,3.66%,"1,701",STATE ASSEMBLY DISTRICT 13
"DEMPSEY, STEVEN ""CAPT. TRUTH""",IAP,5.41%,721,STATE ASSEMBLY DISTRICT 14
"GARDNER, JR, RICHARD GOLDEN",REP,33.43%,"4,458",STATE ASSEMBLY DISTRICT 14
"KOIVISTO, ELLEN Incumbent",DEM,61.17%,"8,157",STATE ASSEMBLY DISTRICT 14
"ANDERSON, BOB",REP,39.74%,"6,002",STATE ASSEMBLY DISTRICT 15
"MCCLAIN, KATHY Incumbent",DEM,60.26%,"9,100",STATE ASSEMBLY DISTRICT 15
"OCEGUERA, JOHN Incumbent",DEM,61.51%,"10,188",STATE ASSEMBLY DISTRICT 16
"SPRETNAK, BOB",REP,38.49%,"6,376",STATE ASSEMBLY DISTRICT 16
"ATKINSON, KELVIN Incumbent",DEM,57.37%,"9,780",STATE ASSEMBLY DISTRICT 17
"GIBBS, DAVID",REP,42.63%,"7,268",STATE ASSEMBLY DISTRICT 17
"MANENDO, MARK Incumbent",DEM,62.24%,"10,348",STATE ASSEMBLY DISTRICT 18
"MUNN, KRIS",REP,37.76%,"6,277",STATE ASSEMBLY DISTRICT 18
"CLABORN, JERRY D. Incumbent",DEM,67.94%,"6,599",STATE ASSEMBLY DISTRICT 19
"SMITH, BRADLEY",DEM,32.06%,"3,114",STATE ASSEMBLY DISTRICT 19
"CHANDLER, TRAVIS",REP,28.61%,"5,198",STATE ASSEMBLY DISTRICT 20
"HARDY, JOE Incumbent",REP,71.39%,"12,968",STATE ASSEMBLY DISTRICT 20
"HARRIS, JESSE DOMINIC",IAP,3.06%,612,STATE ASSEMBLY DISTRICT 21
"PITTS, JOSEPH M.",DEM,40.76%,"8,154",STATE ASSEMBLY DISTRICT 21
"SEALE, BOB",REP,56.18%,"11,238",STATE ASSEMBLY DISTRICT 21
"HANSEN, JOSHUA",IAP,3.34%,"1,638",STATE ASSEMBLY DISTRICT 22
"LEVENSON, CAREN",DEM,40.98%,"20,090",STATE ASSEMBLY DISTRICT 22
"SIBLEY, SCOTT A.",REP,55.68%,"27,300",STATE ASSEMBLY DISTRICT 22
"GRIERSON, STEVEN",REP,41.52%,"6,829",STATE ASSEMBLY DISTRICT 23
"PERKINS, RICHARD D. Incumbent",DEM,58.48%,"9,618",STATE ASSEMBLY DISTRICT 23
"BELL, SR., BENJAMIN J.",REP,24.49%,"1,368",STATE ASSEMBLY DISTRICT 28
"DENIS, MO",DEM,75.51%,"4,218",STATE ASSEMBLY DISTRICT 28
"BANDIERO, ANTHONY",REP,46.10%,"9,514",STATE ASSEMBLY DISTRICT 29
"GERHARDT, SUSAN",DEM,53.90%,"11,125",STATE ASSEMBLY DISTRICT 29
"HORNE, WILLIAM C. Incumbent",DEM,100.00%,"11,632",STATE ASSEMBLY DISTRICT 34
"CONKLIN, MARCUS Incumbent",DEM,53.80%,"8,026",STATE ASSEMBLY DISTRICT 37
"VITOLO, SANDRA",REP,46.20%,"6,892",STATE ASSEMBLY DISTRICT 37
"HANSEN, CHRISTOPHER H.",IAP,5.84%,731,STATE ASSEMBLY DISTRICT 41
"PARKS, DAVID Incumbent",DEM,59.12%,"7,400",STATE ASSEMBLY DISTRICT 41
"SAYE, PATRICIA",REP,35.04%,"4,386",STATE ASSEMBLY DISTRICT 41
"ADNEY, BOB",REP,40.86%,"5,332",STATE ASSEMBLY DISTRICT 42
"MORTENSON, HARRY Incumbent",DEM,59.14%,"7,719",STATE ASSEMBLY DISTRICT 42
"HARDESTY, JIM",NP,39.26%,"188,306",SUPREME COURT JUSTICE SEAT A
"STEEL, CYNTHIA ""DIANNE""",NP,41.65%,"199,811",SUPREME COURT JUSTICE SEAT A
None of these Candidates,,19.09%,"91,566",SUPREME COURT JUSTICE SEAT A
"MASON, JOHN E.",NP,27.38%,"131,644",SUPREME COURT JUSTICE SEAT E
"PARRAGUIRRE, RON",NP,53.38%,"256,665",SUPREME COURT JUSTICE SEAT E
None of these Candidates,,19.25%,"92,546",SUPREME COURT JUSTICE SEAT E
"DOUGLAS, MICHAEL L. Incumbent",NP,52.00%,"243,203",SUPREME COURT JUSTICE SEAT F
"HANSEN, JOEL FREDERICK",NP,26.24%,"122,716",SUPREME COURT JUSTICE SEAT F
None of these Candidates,,21.76%,"101,749",SUPREME COURT JUSTICE SEAT F
"FREDERICK, SHARON",NP,68.37%,"48,757","MEMBER, STATE BOARD OF EDUCATION, DISTRICT 1"
"JETER, R. DEAN",NP,31.63%,"22,552","MEMBER, STATE BOARD OF EDUCATION, DISTRICT 1"
"SISOLAK, STEVE Incumbent",NP,73.65%,"39,277","REGENT, STATE UNIVERSITY DISTRICT 7"
"SURPURE, J.S. ""JACK""",NP,26.35%,"14,051","REGENT, STATE UNIVERSITY DISTRICT 7"
"LEAVITT, JAMES DEAN",NP,56.51%,"41,307","REGENT, STATE UNIVERSITY DISTRICT 13"
"STURMAN, GLORIA J.",NP,43.49%,"31,794","REGENT, STATE UNIVERSITY DISTRICT 13"
"BALLARD, II, WILLIAM BOYD",IAP,21.36%,"22,002",COUNTY COMMISSION DISTRICT A
"WOODBURY, BRUCE",REP,78.64%,"81,027",COUNTY COMMISSION DISTRICT A
"BUCK, SHARI",REP,45.15%,"30,259",COUNTY COMMISSION DISTRICT B
"COLLINS, TOM",DEM,54.85%,"36,758",COUNTY COMMISSION DISTRICT B
"MAXFIELD, CHIP",REP,54.60%,"58,074",COUNTY COMMISSION DISTRICT C
"TAO, JERRY",DEM,45.40%,"48,288",COUNTY COMMISSION DISTRICT C
"ATKINSON-GATES, YVONNE",DEM,74.45%,"24,873",COUNTY COMMISSION DISTRICT D
"NARTER, SCOTT DAVID",IAP,4.64%,"1,549",COUNTY COMMISSION DISTRICT D
"RICHARDSON, CHESTER MAJOR",REP,20.91%,"6,987",COUNTY COMMISSION DISTRICT D
"BOGGS-MCDONALD, LYNETTE",REP,52.19%,"38,296",COUNTY COMMISSION DISTRICT F
"GOLDWATER, DAVID",DEM,47.81%,"35,077",COUNTY COMMISSION DISTRICT F
"CORY, KEN",NP,51.36%,"217,293",DISTRICT COURT JUDGE DEPARTMENT 1
"HENDERSON, BILL",NP,48.64%,"205,750",DISTRICT COURT JUDGE DEPARTMENT 1
"DAVIDSON, MIKE",NP,45.72%,"198,253",DISTRICT COURT JUDGE DEPARTMENT 11
"GONZALEZ, ELIZABETH ""BETSY""",NP,54.28%,"235,411",DISTRICT COURT JUDGE DEPARTMENT 11
"HALVERSON, ELIZABETH",NP,48.59%,"212,808","DISTRICT COURT JUDGE, FAMILY DIVISION,  DEPT. D"
"HARDCASTLE, GERALD W. Incumbent",NP,51.41%,"225,191","DISTRICT COURT JUDGE, FAMILY DIVISION,  DEPT. D"
"LUECK, ROBERT W. Incumbent",NP,44.81%,"189,561","DISTRICT COURT JUDGE, FAMILY DIVISION,  DEPT. E"
"POMRENZE, SANDRA L.",NP,55.19%,"233,514","DISTRICT COURT JUDGE, FAMILY DIVISION,  DEPT. E"
"GASTON, BOB Incumbent",NP,44.71%,"191,502","DISTRICT COURT JUDGE, FAMILY DIVISION,  DEPT. F"
"MILEY, STEFANY ANN",NP,55.29%,"236,788","DISTRICT COURT JUDGE, FAMILY DIVISION,  DEPT. F"
"FARRELL, ISAAC",NP,34.58%,"28,127","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT A"
"SCOW, MARY BETH",NP,65.42%,"53,211","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT A"
"BULLOCH, TROY",NP,37.63%,"25,170","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT B"
"JOHNSON, RUTH L.",NP,62.37%,"41,726","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT B"
"BARBER, SHIRLEY",NP,71.13%,"26,018","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT C"
"SEGERBLOM, RICHARD",NP,28.87%,"10,558","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT C"
"BRODSKY, DENISE",NP,73.17%,"44,877","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E"
"DEVINS, RYAN",NP,26.83%,"16,452","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E"
"DOTY, R. GUY",NP,54.03%,671,"BOARD MEMBER, MOAPA VALLEY WATER DISTRICT, LOGANDALE"
"HARDY, STANLEY GLEN",NP,45.97%,571,"BOARD MEMBER, MOAPA VALLEY WATER DISTRICT, LOGANDALE"
"HUGHES, CHARLENE",NP,26.63%,"1,019","BOARD MEMBER, VIRGIN VALLEY WATER DISTRICT, MESQUITE"
"JENSEN, THERON N.",NP,35.12%,"1,344","BOARD MEMBER, VIRGIN VALLEY WATER DISTRICT, MESQUITE"
"PAUL, JOHN",NP,16.80%,643,"BOARD MEMBER, VIRGIN VALLEY WATER DISTRICT, MESQUITE"
"WAITE, DOUGLAS",NP,21.45%,821,"BOARD MEMBER, VIRGIN VALLEY WATER DISTRICT, MESQUITE"
"LEAVITT, GARY L.",NP,73.58%,259,"TRUSTEE, OVERTON POWER DISTRICT 3, MOAPA"
"WATKINS, GARY",NP,26.42%,93,"TRUSTEE, OVERTON POWER DISTRICT 3, MOAPA"
"BENNETT, KAREN",NP,55.56%,"167,390",JUSTICE OF THE PEACE LAS VEGAS TOWNSHIP DEPARTMENT. 7
"GUBLER, JIM",NP,44.44%,"133,909",JUSTICE OF THE PEACE LAS VEGAS TOWNSHIP DEPARTMENT. 7
"BONAVENTURE, JOE",NP,55.79%,"180,219",JUSTICE OF THE PEACE LAS VEGAS TOWNSHIP DEPARTMENT. 9
"ZADROWSKI, BERNIE",NP,44.21%,"142,823",JUSTICE OF THE PEACE LAS VEGAS TOWNSHIP DEPARTMENT. 9
Yes,,61.64%,"318,492",STATE QUESTION 1
No,,38.36%,"198,203",STATE QUESTION 1
Yes,,51.76%,"265,578",STATE QUESTION 2
No,,48.24%,"247,539",STATE QUESTION 2
Yes,,59.22%,"304,989",STATE QUESTION 3
No,,40.78%,"210,049",STATE QUESTION 3
Yes,,37.82%,"195,702",STATE QUESTION 4
No,,62.18%,"321,777",STATE QUESTION 4
Yes,,40.60%,"210,293",STATE QUESTION 5
No,,59.40%,"307,667",STATE QUESTION 5
Yes,,70.20%,"366,390",STATE QUESTION 6
No,,29.80%,"155,542",STATE QUESTION 6
Yes,,54.75%,"275,227",STATE QUESTION 7
No,,45.25%,"227,452",STATE QUESTION 7
Yes,,39.10%,"192,375",STATE QUESTION 8
No,,60.90%,"299,610",STATE QUESTION 8
Yes,,51.58%,"268,726",CLARK COUNTY ADVISORY QUESTION NO. 9
No,,48.42%,"252,262",CLARK COUNTY ADVISORY QUESTION NO. 9
Yes,,61.66%,"297,994",CLARK COUNTY ADVISORY QUESTION NO. 10
No,,38.34%,"185,256",CLARK COUNTY ADVISORY QUESTION NO. 10
Yes,,47.30%,"3,944",BOULDER CITY QUESTION NO. 1
No,,52.70%,"4,395",BOULDER CITY QUESTION NO. 1
