county,precinct,office,candidate,votes,district
Carson City,107,U.S. Senate,Thomas Hurst,5,
Carson City,109,President,David Cobb,3,
Carson City,109,President,George Bush,616,
Carson City,109,President,John Kerry,412,
Carson City,109,President,Michael Peroutka,4,
Carson City,109,President,Michael Badnarik,1,
Carson City,109,President,None Of These Candidates,7,
Carson City,109,President,Ralph Nader,3,
Carson City,109,State House,Merritt. Yochumo,9,40
Carson City,109,State House,Bonnie Parnell,514,40
Carson City,109,State House,Ron Knecht,486,40
Carson City,109,U.S. House,Angie Cochran,250,2
Carson City,109,U.S. House,Brendan Trainor,21,2
Carson City,109,U.S. House,Jim Gibbons,713,2
Carson City,109,U.S. House,Janine Hansen,23,2
Carson City,109,U.S. Senate,David Schumann,5,
Carson City,109,U.S. Senate,Gary Marinch,4,
Carson City,109,U.S. Senate,None Of These Candidates,14,
Carson City,109,U.S. Senate,Harry Reid,545,
Carson City,109,U.S. Senate,Richard Ziser,457,
Carson City,109,U.S. Senate,Thomas Hurst,8,
Carson City,111,President,David Cobb,1,
Carson City,111,President,George Bush,596,
Carson City,111,President,John Kerry,523,
Carson City,111,President,Michael Peroutka,2,
Carson City,111,President,Michael Badnarik,6,
Carson City,111,President,None Of These Candidates,9,
Carson City,111,President,Ralph Nader,9,
Carson City,111,State House,Merritt. Yochumo,39,40
Carson City,111,State House,Bonnie Parnell,555,40
Carson City,111,State House,Ron Knecht,513,40
Carson City,111,U.S. House,Angie Cochran,348,2
Carson City,111,U.S. House,Brendan Trainor,27,2
Carson City,111,U.S. House,Jim Gibbons,679,2
Carson City,111,U.S. House,Janine Hansen,54,2
Carson City,111,U.S. Senate,David Schumann,19,
Carson City,111,U.S. Senate,Gary Marinch,6,
Carson City,111,U.S. Senate,None Of These Candidates,18,
Carson City,111,U.S. Senate,Harry Reid,669,
Carson City,111,U.S. Senate,Richard Ziser,409,
Carson City,111,U.S. Senate,Thomas Hurst,13,
Carson City,113,President,David Cobb,3,
Carson City,113,President,George Bush,636,
Carson City,113,President,John Kerry,359,
Carson City,113,President,Michael Peroutka,3,
Carson City,113,President,Michael Badnarik,2,
Carson City,113,President,None Of These Candidates,8,
Carson City,113,President,Ralph Nader,9,
Carson City,113,State House,Cathylee James,360,38
Carson City,113,State House,Dennis Gomez,30,38
Carson City,113,State House,Tom Grady,595,38
Carson City,113,U.S. House,Angie Cochran,222,2
Carson City,113,U.S. House,Brendan Trainor,14,2
Carson City,113,U.S. House,Jim Gibbons,730,2
Carson City,113,U.S. House,Janine Hansen,29,2
Carson City,113,U.S. Senate,David Schumann,10,
Carson City,113,U.S. Senate,Gary Marinch,4,
Carson City,113,U.S. Senate,None Of These Candidates,18,
Carson City,113,U.S. Senate,Harry Reid,483,
Carson City,113,U.S. Senate,Richard Ziser,489,
Carson City,113,U.S. Senate,Thomas Hurst,10,
Carson City,201,President,David Cobb,1,
Carson City,201,President,George Bush,449,
Carson City,201,President,John Kerry,351,
Carson City,201,President,Michael Peroutka,4,
Carson City,201,President,Michael Badnarik,4,
Carson City,201,President,None Of These Candidates,13,
Carson City,201,President,Ralph Nader,6,
Carson City,201,State House,Merritt. Yochumo,24,40
Carson City,201,State House,Bonnie Parnell,416,40
Carson City,201,State House,Ron Knecht,355,40
Carson City,201,U.S. House,Angie Cochran,235,2
Carson City,201,U.S. House,Brendan Trainor,11,2
Carson City,201,U.S. House,Jim Gibbons,516,2
Carson City,201,U.S. House,Janine Hansen,33,2
Carson City,201,U.S. Senate,David Schumann,10,
Carson City,201,U.S. Senate,Gary Marinch,0,
Carson City,201,U.S. Senate,None Of These Candidates,14,
Carson City,201,U.S. Senate,Harry Reid,474,
Carson City,201,U.S. Senate,Richard Ziser,305,
Carson City,201,U.S. Senate,Thomas Hurst,11,
Carson City,203,President,David Cobb,0,
Carson City,203,President,George Bush,481,
Carson City,203,President,John Kerry,356,
Carson City,203,President,Michael Peroutka,2,
Carson City,203,President,Michael Badnarik,3,
Carson City,203,President,None Of These Candidates,6,
Carson City,203,President,Ralph Nader,4,
Carson City,203,State House,Merritt. Yochumo,21,40
Carson City,203,State House,Bonnie Parnell,410,40
Carson City,203,State House,Ron Knecht,397,40
Carson City,203,U.S. House,Angie Cochran,218,2
Carson City,203,U.S. House,Brendan Trainor,19,2
Carson City,203,U.S. House,Jim Gibbons,553,2
Carson City,203,U.S. House,Janine Hansen,35,2
Carson City,203,U.S. Senate,David Schumann,6,
Carson City,203,U.S. Senate,Gary Marinch,5,
Carson City,203,U.S. Senate,None Of These Candidates,13,
Carson City,203,U.S. Senate,Harry Reid,463,
Carson City,203,U.S. Senate,Richard Ziser,351,
Carson City,203,U.S. Senate,Thomas Hurst,7,
Carson City,205,President,David Cobb,1,
Carson City,205,President,George Bush,628,
Carson City,205,President,John Kerry,427,
Carson City,205,President,Michael Peroutka,0,
Carson City,205,President,Michael Badnarik,6,
Carson City,205,President,None Of These Candidates,7,
Carson City,205,President,Ralph Nader,4,
Carson City,205,State House,Merritt. Yochumo,30,40
Carson City,205,State House,Bonnie Parnell,523,40
Carson City,205,State House,Ron Knecht,501,40
Carson City,205,U.S. House,Angie Cochran,299,2
Carson City,205,U.S. House,Brendan Trainor,11,2
Carson City,205,U.S. House,Jim Gibbons,722,2
Carson City,205,U.S. House,Janine Hansen,22,2
Carson City,205,U.S. Senate,David Schumann,6,
Carson City,205,U.S. Senate,Gary Marinch,1,
Carson City,205,U.S. Senate,None Of These Candidates,16,
Carson City,205,U.S. Senate,Harry Reid,583,
Carson City,205,U.S. Senate,Richard Ziser,445,
Carson City,205,U.S. Senate,Thomas Hurst,9,
Carson City,207,President,David Cobb,1,
Carson City,207,President,George Bush,498,
Carson City,207,President,John Kerry,459,
Carson City,207,President,Michael Peroutka,4,
Carson City,207,President,Michael Badnarik,2,
Carson City,207,President,None Of These Candidates,10,
Carson City,207,President,Ralph Nader,4,
Carson City,207,State House,Merritt. Yochumo,22,40
Carson City,207,State House,Bonnie Parnell,496,40
Carson City,207,State House,Ron Knecht,428,40
Carson City,207,U.S. House,Angie Cochran,291,2
Carson City,207,U.S. House,Brendan Trainor,7,2
Carson City,207,U.S. House,Jim Gibbons,604,2
Carson City,207,U.S. House,Janine Hansen,37,2
Carson City,207,U.S. Senate,David Schumann,8,
Carson City,207,U.S. Senate,Gary Marinch,4,
Carson City,207,U.S. Senate,None Of These Candidates,13,
Carson City,207,U.S. Senate,Harry Reid,592,
Carson City,207,U.S. Senate,Richard Ziser,334,
Carson City,207,U.S. Senate,Thomas Hurst,10,
Carson City,209,President,David Cobb,1,
Carson City,209,President,George Bush,409,
Carson City,209,President,John Kerry,329,
Carson City,209,President,Michael Peroutka,6,
Carson City,209,President,Michael Badnarik,2,
Carson City,209,President,None Of These Candidates,9,
Carson City,209,President,Ralph Nader,17,
Carson City,209,State House,Merritt. Yochumo,27,40
Carson City,209,State House,Bonnie Parnell,388,40
Carson City,209,State House,Ron Knecht,337,40
Carson City,209,U.S. House,Angie Cochran,193,2
Carson City,209,U.S. House,Brendan Trainor,10,2
Carson City,209,U.S. House,Jim Gibbons,500,2
Carson City,209,U.S. House,Janine Hansen,46,2
Carson City,209,U.S. Senate,David Schumann,14,
Carson City,209,U.S. Senate,Gary Marinch,8,
Carson City,209,U.S. Senate,None Of These Candidates,12,
Carson City,209,U.S. Senate,Harry Reid,461,
Carson City,209,U.S. Senate,Richard Ziser,261,
Carson City,209,U.S. Senate,Thomas Hurst,11,
Carson City,211,President,David Cobb,0,
Carson City,211,President,George Bush,222,
Carson City,211,President,John Kerry,108,
Carson City,211,President,Michael Peroutka,1,
Carson City,211,President,Michael Badnarik,0,
Carson City,211,President,None Of These Candidates,2,
Carson City,211,President,Ralph Nader,0,
Carson City,211,State House,Cathylee James,119,38
Carson City,211,State House,Dennis Gomez,9,38
Carson City,211,State House,Tom Grady,197,38
Carson City,211,U.S. House,Angie Cochran,67,2
Carson City,211,U.S. House,Brendan Trainor,5,2
Carson City,211,U.S. House,Jim Gibbons,246,2
Carson City,211,U.S. House,Janine Hansen,12,2
Carson City,211,U.S. Senate,David Schumann,5,
Carson City,211,U.S. Senate,Gary Marinch,1,
Carson City,211,U.S. Senate,None Of These Candidates,4,
Carson City,211,U.S. Senate,Harry Reid,159,
Carson City,211,U.S. Senate,Richard Ziser,162,
Carson City,211,U.S. Senate,Thomas Hurst,1,
Carson City,213,President,David Cobb,1,
Carson City,213,President,George Bush,316,
Carson City,213,President,John Kerry,184,
Carson City,213,President,Michael Peroutka,2,
Carson City,213,President,Michael Badnarik,8,
Carson City,213,President,None Of These Candidates,1,
Carson City,213,President,Ralph Nader,1,
Carson City,213,State House,Cathylee James,201,38
Carson City,213,State House,Dennis Gomez,16,38
Carson City,213,State House,Tom Grady,275,38
Carson City,213,U.S. House,Angie Cochran,121,2
Carson City,213,U.S. House,Brendan Trainor,11,2
Carson City,213,U.S. House,Jim Gibbons,356,2
Carson City,213,U.S. House,Janine Hansen,16,2
Carson City,213,U.S. Senate,David Schumann,7,
Carson City,213,U.S. Senate,Gary Marinch,1,
Carson City,213,U.S. Senate,None Of These Candidates,3,
Carson City,213,U.S. Senate,Harry Reid,256,
Carson City,213,U.S. Senate,Richard Ziser,233,
Carson City,213,U.S. Senate,Thomas Hurst,8,
Carson City,301,President,David Cobb,0,
Carson City,301,President,George Bush,517,
Carson City,301,President,John Kerry,340,
Carson City,301,President,Michael Peroutka,1,
Carson City,301,President,Michael Badnarik,1,
Carson City,301,President,None Of These Candidates,6,
Carson City,301,President,Ralph Nader,7,
Carson City,301,State House,Merritt. Yochumo,20,40
Carson City,301,State House,Bonnie Parnell,388,40
Carson City,301,State House,Ron Knecht,451,40
Carson City,301,U.S. House,Angie Cochran,205,2
Carson City,301,U.S. House,Brendan Trainor,8,2
Carson City,301,U.S. House,Jim Gibbons,612,2
Carson City,301,U.S. House,Janine Hansen,22,2
Carson City,301,U.S. Senate,David Schumann,6,
Carson City,301,U.S. Senate,Gary Marinch,1,
Carson City,301,U.S. Senate,None Of These Candidates,14,
Carson City,301,U.S. Senate,Harry Reid,463,
Carson City,301,U.S. Senate,Richard Ziser,377,
Carson City,301,U.S. Senate,Thomas Hurst,2,
Carson City,303,President,David Cobb,2,
Carson City,303,President,George Bush,486,
Carson City,303,President,John Kerry,366,
Carson City,303,President,Michael Peroutka,1,
Carson City,303,President,Michael Badnarik,3,
Carson City,303,President,None Of These Candidates,8,
Carson City,303,President,Ralph Nader,6,
Carson City,303,State House,Merritt. Yochumo,23,40
Carson City,303,State House,Bonnie Parnell,445,40
Carson City,303,State House,Ron Knecht,381,40
Carson City,303,U.S. House,Angie Cochran,225,2
Carson City,303,U.S. House,Brendan Trainor,12,2
Carson City,303,U.S. House,Jim Gibbons,580,2
Carson City,303,U.S. House,Janine Hansen,34,2
Carson City,303,U.S. Senate,David Schumann,6,
Carson City,303,U.S. Senate,Gary Marinch,5,
Carson City,303,U.S. Senate,None Of These Candidates,13,
Carson City,303,U.S. Senate,Harry Reid,481,
Carson City,303,U.S. Senate,Richard Ziser,347,
Carson City,303,U.S. Senate,Thomas Hurst,4,
Carson City,305,President,David Cobb,1,
Carson City,305,President,George Bush,680,
Carson City,305,President,John Kerry,421,
Carson City,305,President,Michael Peroutka,0,
Carson City,305,President,Michael Badnarik,4,
Carson City,305,President,None Of These Candidates,4,
Carson City,305,President,Ralph Nader,8,
Carson City,305,State House,Merritt. Yochumo,16,40
Carson City,305,State House,Bonnie Parnell,589,40
Carson City,305,State House,Ron Knecht,490,40
Carson City,305,U.S. House,Angie Cochran,220,2
Carson City,305,U.S. House,Brendan Trainor,10,2
Carson City,305,U.S. House,Jim Gibbons,825,2
Carson City,305,U.S. House,Janine Hansen,34,2
Carson City,305,U.S. Senate,David Schumann,2,
Carson City,305,U.S. Senate,Gary Marinch,2,
Carson City,305,U.S. Senate,None Of These Candidates,16,
Carson City,305,U.S. Senate,Harry Reid,599,
Carson City,305,U.S. Senate,Richard Ziser,481,
Carson City,305,U.S. Senate,Thomas Hurst,7,
Carson City,307,President,David Cobb,5,
Carson City,307,President,George Bush,379,
Carson City,307,President,John Kerry,326,
Carson City,307,President,Michael Peroutka,2,
Carson City,307,President,Michael Badnarik,3,
Carson City,307,President,None Of These Candidates,4,
Carson City,307,President,Ralph Nader,3,
Carson City,307,State House,Merritt. Yochumo,20,40
Carson City,307,State House,Bonnie Parnell,363,40
Carson City,307,State House,Ron Knecht,312,40
Carson City,307,U.S. House,Angie Cochran,222,2
Carson City,307,U.S. House,Brendan Trainor,14,2
Carson City,307,U.S. House,Jim Gibbons,446,2
Carson City,307,U.S. House,Janine Hansen,18,2
Carson City,307,U.S. Senate,David Schumann,7,
Carson City,307,U.S. Senate,Gary Marinch,2,
Carson City,307,U.S. Senate,None Of These Candidates,15,
Carson City,307,U.S. Senate,Harry Reid,437,
Carson City,307,U.S. Senate,Richard Ziser,248,
Carson City,307,U.S. Senate,Thomas Hurst,4,
Carson City,309,President,David Cobb,1,
Carson City,309,President,George Bush,239,
Carson City,309,President,John Kerry,181,
Carson City,309,President,Michael Peroutka,1,
Carson City,309,President,Michael Badnarik,3,
Carson City,309,President,None Of These Candidates,1,
Carson City,309,President,Ralph Nader,4,
Carson City,309,State House,Cathylee James,191,38
Carson City,309,State House,Dennis Gomez,23,38
Carson City,309,State House,Tom Grady,204,38
Carson City,309,U.S. House,Angie Cochran,125,2
Carson City,309,U.S. House,Brendan Trainor,7,2
Carson City,309,U.S. House,Jim Gibbons,273,2
Carson City,309,U.S. House,Janine Hansen,17,2
Carson City,309,U.S. Senate,David Schumann,1,
Carson City,309,U.S. Senate,Gary Marinch,0,
Carson City,309,U.S. Senate,None Of These Candidates,6,
Carson City,309,U.S. Senate,Harry Reid,244,
Carson City,309,U.S. Senate,Richard Ziser,170,
Carson City,309,U.S. Senate,Thomas Hurst,6,
Carson City,311,President,David Cobb,0,
Carson City,311,President,George Bush,726,
Carson City,311,President,John Kerry,395,
Carson City,311,President,Michael Peroutka,1,
Carson City,311,President,Michael Badnarik,9,
Carson City,311,President,None Of These Candidates,9,
Carson City,311,President,Ralph Nader,4,
Carson City,311,State House,Cathylee James,412,38
Carson City,311,State House,Dennis Gomez,26,38
Carson City,311,State House,Tom Grady,667,38
Carson City,311,U.S. House,Angie Cochran,228,2
Carson City,311,U.S. House,Brendan Trainor,21,2
Carson City,311,U.S. House,Jim Gibbons,840,2
Carson City,311,U.S. House,Janine Hansen,33,2
Carson City,311,U.S. Senate,David Schumann,10,
Carson City,311,U.S. Senate,Gary Marinch,2,
Carson City,311,U.S. Senate,None Of These Candidates,9,
Carson City,311,U.S. Senate,Harry Reid,537,
Carson City,311,U.S. Senate,Richard Ziser,563,
Carson City,311,U.S. Senate,Thomas Hurst,13,
Carson City,401,President,David Cobb,2,
Carson City,401,President,George Bush,373,
Carson City,401,President,John Kerry,383,
Carson City,401,President,Michael Peroutka,2,
Carson City,401,President,Michael Badnarik,4,
Carson City,401,President,None Of These Candidates,7,
Carson City,401,President,Ralph Nader,9,
Carson City,401,State House,Merritt. Yochumo,21,40
Carson City,401,State House,Bonnie Parnell,417,40
Carson City,401,State House,Ron Knecht,310,40
Carson City,401,U.S. House,Angie Cochran,237,2
Carson City,401,U.S. House,Brendan Trainor,15,2
Carson City,401,U.S. House,Jim Gibbons,461,2
Carson City,401,U.S. House,Janine Hansen,36,2
Carson City,401,U.S. Senate,David Schumann,6,
Carson City,401,U.S. Senate,Gary Marinch,4,
Carson City,401,U.S. Senate,None Of These Candidates,19,
Carson City,401,U.S. Senate,Harry Reid,465,
Carson City,401,U.S. Senate,Richard Ziser,264,
Carson City,401,U.S. Senate,Thomas Hurst,8,
Carson City,403,President,David Cobb,0,
Carson City,403,President,George Bush,564,
Carson City,403,President,John Kerry,509,
Carson City,403,President,Michael Peroutka,0,
Carson City,403,President,Michael Badnarik,4,
Carson City,403,President,None Of These Candidates,7,
Carson City,403,President,Ralph Nader,7,
Carson City,403,State House,Merritt. Yochumo,31,40
Carson City,403,State House,Bonnie Parnell,576,40
Carson City,403,State House,Ron Knecht,462,40
Carson City,403,U.S. House,Angie Cochran,333,2
Carson City,403,U.S. House,Brendan Trainor,13,2
Carson City,403,U.S. House,Jim Gibbons,684,2
Carson City,403,U.S. House,Janine Hansen,33,2
Carson City,403,U.S. Senate,David Schumann,14,
Carson City,403,U.S. Senate,Gary Marinch,2,
Carson City,403,U.S. Senate,None Of These Candidates,20,
Carson City,403,U.S. Senate,Harry Reid,641,
Carson City,403,U.S. Senate,Richard Ziser,400,
Carson City,403,U.S. Senate,Thomas Hurst,7,
Carson City,405,President,David Cobb,0,
Carson City,405,President,George Bush,496,
Carson City,405,President,John Kerry,429,
Carson City,405,President,Michael Peroutka,1,
Carson City,405,President,Michael Badnarik,5,
Carson City,405,President,None Of These Candidates,6,
Carson City,405,President,Ralph Nader,3,
Carson City,405,State House,Merritt. Yochumo,17,40
Carson City,405,State House,Bonnie Parnell,503,40
Carson City,405,State House,Ron Knecht,400,40
Carson City,405,U.S. House,Angie Cochran,271,2
Carson City,405,U.S. House,Brendan Trainor,12,2
Carson City,405,U.S. House,Jim Gibbons,607,2
Carson City,405,U.S. House,Janine Hansen,30,2
Carson City,405,U.S. Senate,David Schumann,4,
Carson City,405,U.S. Senate,Gary Marinch,2,
Carson City,405,U.S. Senate,None Of These Candidates,15,
Carson City,405,U.S. Senate,Harry Reid,542,
Carson City,405,U.S. Senate,Richard Ziser,355,
Carson City,405,U.S. Senate,Thomas Hurst,7,
Carson City,407,President,David Cobb,1,
Carson City,407,President,George Bush,548,
Carson City,407,President,John Kerry,340,
Carson City,407,President,Michael Peroutka,5,
Carson City,407,President,Michael Badnarik,7,
Carson City,407,President,None Of These Candidates,7,
Carson City,407,President,Ralph Nader,8,
Carson City,407,State House,Merritt. Yochumo,38,40
Carson City,407,State House,Bonnie Parnell,415,40
Carson City,407,State House,Ron Knecht,438,40
Carson City,407,U.S. House,Angie Cochran,213,2
Carson City,407,U.S. House,Brendan Trainor,11,2
Carson City,407,U.S. House,Jim Gibbons,626,2
Carson City,407,U.S. House,Janine Hansen,43,2
Carson City,407,U.S. Senate,David Schumann,8,
Carson City,407,U.S. Senate,Gary Marinch,3,
Carson City,407,U.S. Senate,None Of These Candidates,10,
Carson City,407,U.S. Senate,Harry Reid,487,
Carson City,407,U.S. Senate,Richard Ziser,387,
Carson City,407,U.S. Senate,Thomas Hurst,10,
Carson City,409,President,David Cobb,1,
Carson City,409,President,George Bush,538,
Carson City,409,President,John Kerry,524,
Carson City,409,President,Michael Peroutka,2,
Carson City,409,President,Michael Badnarik,6,
Carson City,409,President,None Of These Candidates,6,
Carson City,409,President,Ralph Nader,9,
Carson City,409,State House,Merritt. Yochumo,22,40
Carson City,409,State House,Bonnie Parnell,600,40
Carson City,409,State House,Ron Knecht,433,40
Carson City,409,U.S. House,Angie Cochran,301,2
Carson City,409,U.S. House,Brendan Trainor,24,2
Carson City,409,U.S. House,Jim Gibbons,677,2
Carson City,409,U.S. House,Janine Hansen,40,2
Carson City,409,U.S. Senate,David Schumann,8,
Carson City,409,U.S. Senate,Gary Marinch,2,
Carson City,409,U.S. Senate,None Of These Candidates,14,
Carson City,409,U.S. Senate,Harry Reid,640,
Carson City,409,U.S. Senate,Richard Ziser,400,
Carson City,409,U.S. Senate,Thomas Hurst,7,
Carson City,411,President,David Cobb,0,
Carson City,411,President,George Bush,407,
Carson City,411,President,John Kerry,212,
Carson City,411,President,Michael Peroutka,0,
Carson City,411,President,Michael Badnarik,0,
Carson City,411,President,None Of These Candidates,8,
Carson City,411,President,Ralph Nader,7,
Carson City,411,State House,Cathylee James,216,38
Carson City,411,State House,Dennis Gomez,17,38
Carson City,411,State House,Tom Grady,378,38
Carson City,411,U.S. House,Angie Cochran,125,2
Carson City,411,U.S. House,Brendan Trainor,3,2
Carson City,411,U.S. House,Jim Gibbons,463,2
Carson City,411,U.S. House,Janine Hansen,27,2
Carson City,411,U.S. Senate,David Schumann,4,
Carson City,411,U.S. Senate,Gary Marinch,1,
Carson City,411,U.S. Senate,None Of These Candidates,7,
Carson City,411,U.S. Senate,Harry Reid,297,
Carson City,411,U.S. Senate,Richard Ziser,316,
Carson City,411,U.S. Senate,Thomas Hurst,6,
Carson City,998,President,David Cobb,0,
Carson City,998,President,George Bush,24,
Carson City,998,President,John Kerry,9,
Carson City,998,President,Michael Peroutka,0,
Carson City,998,President,Michael Badnarik,0,
Carson City,998,President,None Of These Candidates,0,
Carson City,998,President,Ralph Nader,0,
Carson City,999,President,David Cobb,0,
Carson City,999,President,George Bush,0,
Carson City,999,President,John Kerry,0,
Carson City,999,President,Michael Peroutka,0,
Carson City,999,President,Michael Badnarik,0,
Carson City,999,President,None Of These Candidates,0,
Carson City,999,President,Ralph Nader,0,
Carson City,999,U.S. House,Angie Cochran,0,2
Carson City,999,U.S. House,Brendan Trainor,0,2
Carson City,999,U.S. House,Jim Gibbons,0,2
Carson City,999,U.S. House,Janine Hansen,0,2
Carson City,999,U.S. Senate,David Schumann,0,
Carson City,999,U.S. Senate,Gary Marinch,0,
Carson City,999,U.S. Senate,None Of These Candidates,0,
Carson City,999,U.S. Senate,Harry Reid,0,
Carson City,999,U.S. Senate,Richard Ziser,0,
Carson City,999,U.S. Senate,Thomas Hurst,0,
Churchill,01,President,David Cobb,2,
Churchill,01,President,George Bush,361,
Churchill,01,President,John Kerry,177,
Churchill,01,President,Michael Peroutka,0,
Churchill,01,President,Michael Badnarik,1,
Churchill,01,President,None Of These Candidates,5,
Churchill,01,President,Ralph Nader,2,
Churchill,01,State House,Pete Goicoechea,263,35
Churchill,01,State House,Linwood Tracy,16,35
Churchill,01,State House,Marcia Debraga,258,35
Churchill,01,State Senate,Freddie Warman,85,
Churchill,01,State Senate,Kenneth Greenwell,22,
Churchill,01,State Senate,Mike Mcginness,423,
Churchill,01,U.S. House,Angie Cochran,111,2
Churchill,01,U.S. House,Brendan Trainor,6,2
Churchill,01,U.S. House,Jim Gibbons,398,2
Churchill,01,U.S. House,Janine Hansen,18,2
Churchill,01,U.S. Senate,David Schumann,8,
Churchill,01,U.S. Senate,Gary Marinch,2,
Churchill,01,U.S. Senate,None Of These Candidates,12,
Churchill,01,U.S. Senate,Harry Reid,255,
Churchill,01,U.S. Senate,Richard Ziser,254,
Churchill,01,U.S. Senate,Thomas Hurst,7,
Churchill,02,President,David Cobb,0,
Churchill,02,President,George Bush,264,
Churchill,02,President,John Kerry,120,
Churchill,02,President,Michael Peroutka,1,
Churchill,02,President,Michael Badnarik,1,
Churchill,02,President,None Of These Candidates,0,
Churchill,02,President,Ralph Nader,5,
Churchill,02,State House,Pete Goicoechea,191,35
Churchill,02,State House,Linwood Tracy,15,35
Churchill,02,State House,Marcia Debraga,178,35
Churchill,02,State Senate,Freddie Warman,65,
Churchill,02,State Senate,Kenneth Greenwell,26,
Churchill,02,State Senate,Mike Mcginness,287,
Churchill,02,U.S. House,Angie Cochran,75,2
Churchill,02,U.S. House,Brendan Trainor,4,2
Churchill,02,U.S. House,Jim Gibbons,285,2
Churchill,02,U.S. House,Janine Hansen,19,2
Churchill,02,U.S. Senate,David Schumann,4,
Churchill,02,U.S. Senate,Gary Marinch,7,
Churchill,02,U.S. Senate,None Of These Candidates,7,
Churchill,02,U.S. Senate,Harry Reid,186,
Churchill,02,U.S. Senate,Richard Ziser,181,
Churchill,02,U.S. Senate,Thomas Hurst,4,
Churchill,03,President,David Cobb,1,
Churchill,03,President,George Bush,354,
Churchill,03,President,John Kerry,156,
Churchill,03,President,Michael Peroutka,3,
Churchill,03,President,Michael Badnarik,2,
Churchill,03,President,None Of These Candidates,3,
Churchill,03,President,Ralph Nader,0,
Churchill,03,State House,Pete Goicoechea,280,35
Churchill,03,State House,Linwood Tracy,11,35
Churchill,03,State House,Marcia Debraga,221,35
Churchill,03,State Senate,Freddie Warman,78,
Churchill,03,State Senate,Kenneth Greenwell,25,
Churchill,03,State Senate,Mike Mcginness,409,
Churchill,03,U.S. House,Angie Cochran,100,2
Churchill,03,U.S. House,Brendan Trainor,4,2
