candidate,party,votes,percent,office
"SCHMIDT, GARY R.",DEMOCRAT,16862,42.45,COUNTY COMMISSIONER DISTRICT 4
"TIERNAY, TERRY W.",INDEPENDENT,3355,8.45,COUNTY COMMISSIONER DISTRICT 4
"CARNE, DAN",NONPARTISAN,21499,63.14,SCHOOL BOARD TRUSTEE DST A
"WASSON, CELANA",NONPARTISAN,12552,36.86,SCHOOL BOARD TRUSTEE DST A
"ANDREWS, BYLLIE D. ""AMATO""",NONPARTISAN,9751,46.62,SCHOOL BOARD TRUSTEE DST D
"GREIN, KEN",NONPARTISAN,11165,53.38,SCHOOL BOARD TRUSTEE DST D
"KELLEY, SCOTT",NONPARTISAN,15904,64.57,SCHOOL BOARD TRUSTEE DST E
"MARTINDALE, DENNY",NONPARTISAN,8725,35.43,SCHOOL BOARD TRUSTEE DST E
"BOWEN, PEGGY LEAR",NONPARTISAN,34878,49.80,SCHOOL BOARD TRUSTEE DST G-AL
"MCLAURY, BARBARA L.",NONPARTISAN,35163,50.20,SCHOOL BOARD TRUSTEE DST G-AL
"EPSTEIN, BEA",NONPARTISAN,2406,19.93,INCLINE VILLAGE GEN IMP DST -VOTE FOR 3
"FULLER, TED",NONPARTISAN,2578,21.35,INCLINE VILLAGE GEN IMP DST -VOTE FOR 3
"NOWLIN, JIM",NONPARTISAN,2112,17.49,INCLINE VILLAGE GEN IMP DST -VOTE FOR 3
"ROWLEY, DELL",NONPARTISAN,1415,11.72,INCLINE VILLAGE GEN IMP DST -VOTE FOR 3
"WEINBERGER, CHUCK",NONPARTISAN,2295,19.01,INCLINE VILLAGE GEN IMP DST -VOTE FOR 3
"WRIGHT, FRANK L.",NONPARTISAN,1267,10.49,INCLINE VILLAGE GEN IMP DST -VOTE FOR 3
"ALLMAN, ELLEN",NONPARTISAN,2703,19.80,SOUTH TRUCKEE MEADOWS GEN IMP DST -VOTE FOR 4
"COHEN, STEVE",NONPARTISAN,2945,21.57,SOUTH TRUCKEE MEADOWS GEN IMP DST -VOTE FOR 4
"GOMEZ, PABLO D.",NONPARTISAN,1791,13.12,SOUTH TRUCKEE MEADOWS GEN IMP DST -VOTE FOR 4
"SAUNDERS, SUE",NONPARTISAN,3018,22.10,SOUTH TRUCKEE MEADOWS GEN IMP DST -VOTE FOR 4
"SCHUMACHER, JERRY",NONPARTISAN,3197,23.41,SOUTH TRUCKEE MEADOWS GEN IMP DST -VOTE FOR 4
"ELLIOTT, GARTH T.",NONPARTISAN,2135,18.48,SUN VALLEY GEN IMP DST -VOTE FOR 3
"FINK, ROBERT W.",NONPARTISAN,2334,20.20,SUN VALLEY GEN IMP DST -VOTE FOR 3
"NOBLETT, TOM",NONPARTISAN,2109,18.26,SUN VALLEY GEN IMP DST -VOTE FOR 3
"REINHARDT, MARGARET",NONPARTISAN,2479,21.46,SUN VALLEY GEN IMP DST -VOTE FOR 3
"WOODLAND, LINDA",NONPARTISAN,2495,21.60,SUN VALLEY GEN IMP DST -VOTE FOR 3
"SEWELL, CHRISTOPHER",NONPARTISAN,1839,32.33,VERDI TV DISTRICT
"TOULOUSE, KIM",NONPARTISAN,1839,32.33,VERDI TV DISTRICT
"ZUNINO-BANBURY, MICHELLE",NONPARTISAN,2011,35.35,VERDI TV DISTRICT
"FISCHER, WAYNE",NONPARTISAN,2963,26.24,NORTH LAKE TAHOE FIRE PROTECTION DST -VOTE FOR 3
"PLASTIRAS, CHRIS",NONPARTISAN,2978,26.37,NORTH LAKE TAHOE FIRE PROTECTION DST -VOTE FOR 3
"SMITH, DALE E.",NONPARTISAN,3002,26.59,NORTH LAKE TAHOE FIRE PROTECTION DST -VOTE FOR 3
"ZAHLER, PAUL C.",NONPARTISAN,2349,20.80,NORTH LAKE TAHOE FIRE PROTECTION DST -VOTE FOR 3
"GUSTIN, DAN",NONPARTISAN,42147,60.66,GEN CITY OF RENO COUNCILMAN WARD 1
"HERNDON, TOM",NONPARTISAN,27337,39.34,GEN CITY OF RENO COUNCILMAN WARD 1
"DEHNE, CHAD",NONPARTISAN,18522,24.99,GEN CITY OF RENO COUNCILMAN WARD 3
"SFERRAZZA, JESSICA",NONPARTISAN,55581,75.01,GEN CITY OF RENO COUNCILMAN WARD 3
"AIAZZI, DAVID L.",NONPARTISAN,42999,59.22,GEN CITY OF RENO COUNCILMAN WARD 5
"MELTON, WAYNE ROLLAN",NONPARTISAN,29607,40.78,GEN CITY OF RENO COUNCILMAN WARD 5
"HASCHEFF, PIERRE A.",NONPARTISAN,38789,53.72,CITY OF RENO COUNCILMAN - AT LARGE
"WARD, DAVID",NONPARTISAN,33413,46.28,CITY OF RENO COUNCILMAN - AT LARGE
"RATTI, JULIA",NONPARTISAN,20188,66.72,GEN CITY OF SPARKS COUNCILMAN WARD 1
"WILSON, LARRY",NONPARTISAN,10068,33.28,GEN CITY OF SPARKS COUNCILMAN WARD 1
"ADAMS, CHET",NONPARTISAN,18946,61.35,SPARKS CITY ATTORNEY
"GRAD, NEIL E.",NONPARTISAN,11938,38.65,SPARKS CITY ATTORNEY
"DILWORTH, JAY D.",NONPARTISAN,64484,100.00,RENO MUNICIPAL COURT JUDGE DEPT. 1-6Y
