candidate,party,percent,votes,office
Under Votes,,2.69%,300,STATE ASSEMBLY DISTRICT 33
Over Votes,,0.02%,2,STATE ASSEMBLY DISTRICT 33
"CHAIREZ, DON",NP,16.86%,"1,878","JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,51.26%,"5,708","JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,22.20%,"2,472","JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,9.56%,"1,065","JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.12%,13,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,67.21%,"7,484","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,19.02%,"2,118","JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,13.75%,"1,531","JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.03%,3,"JUSTICE OF THE SUPREME COURT, SEAT D"
"FERRY, CLIFF",NP,75.43%,"8,400",STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,24.57%,"2,736",STATE BOARD OF EDUCATION DISTRICT 10
Over Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
"MEMEO, MIKE Incumbent",NP,82.73%,"9,213",DISTRICT COURT JUDGE DIST 4 DEPT 1
Under Votes,,17.27%,"1,923",DISTRICT COURT JUDGE DIST 4 DEPT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DIST 4 DEPT 1
"PUCCINELLI , ANDREW J",NP,81.20%,"9,042",DISTRICT COURT JUDGE DIST 4 DEPT 2
Under Votes,,18.80%,"2,094",DISTRICT COURT JUDGE DIST 4 DEPT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DIST 4 DEPT 2
"AGUIRRE, JOSEPH",REP,88.73%,"9,881",COUNTY ASSESSOR
Under Votes,,11.27%,"1,255",COUNTY ASSESSOR
Over Votes,,0.00%,0,COUNTY ASSESSOR
"JEFFERSON, DOROTHY",IAP,17.38%,"1,935",COUNTY CLERK
"SMITH, WIN",REP,77.29%,"8,607",COUNTY CLERK
Under Votes,,5.06%,563,COUNTY CLERK
Over Votes,,0.28%,31,COUNTY CLERK
"LLOYD, NOLAN",REP,46.56%,"5,185",COUNTY COMMISSIONER DISTRICT 2
"MYERS, CHARLES",REP,47.94%,"5,339",COUNTY COMMISSIONER DISTRICT 2
Under Votes,,5.42%,604,COUNTY COMMISSIONER DISTRICT 2
Over Votes,,0.07%,8,COUNTY COMMISSIONER DISTRICT 2
"EKLUND-BROWN, SHERI",REP,55.14%,"6,140",COUNTY COMMISSIONER DISTRICT 4
"ROBERTS, BRAD",REP,40.67%,"4,529",COUNTY COMMISSIONER DISTRICT 4
Under Votes,,4.09%,455,COUNTY COMMISSIONER DISTRICT 4
Over Votes,,0.11%,12,COUNTY COMMISSIONER DISTRICT 4
"WOODBURY, GARY D.",REP,81.59%,"9,086",COUNTY DISTRICT ATTORNEY
Under Votes,,18.41%,"2,050",COUNTY DISTRICT ATTORNEY
Over Votes,,0.00%,0,COUNTY DISTRICT ATTORNEY
"JEFFERSON, THOMAS F.",IAP,8.69%,968,COUNTY RECORDER
"REYNOLDS, JERRY D.",REP,55.00%,"6,125",COUNTY RECORDER
"SMALES, MICHAEL",DEM,32.92%,"3,666",COUNTY RECORDER
Under Votes,,3.31%,369,COUNTY RECORDER
Over Votes,,0.07%,8,COUNTY RECORDER
"SALICCHI, CEASAR E.",DEM,78.50%,"8,742",COUNTY TREASURER
Under Votes,,21.50%,"2,394",COUNTY TREASURER
Over Votes,,0.00%,0,COUNTY TREASURER
"SMALES, JOHN G.",NP,79.04%,"8,802",SCHOOL BOARD OF TRUSTEES DISTRICT 1
Under Votes,,20.96%,"2,334",SCHOOL BOARD OF TRUSTEES DISTRICT 1
Over Votes,,0.00%,0,SCHOOL BOARD OF TRUSTEES DISTRICT 1
"BROUGH, WILDE F.",NP,43.71%,"4,868",SCHOOL BOARD OF TRUSTEES DISTRICT 6
"LOTSPEICH, DALE",NP,44.91%,"5,001",SCHOOL BOARD OF TRUSTEES DISTRICT 6
Under Votes,,10.90%,"1,214",SCHOOL BOARD OF TRUSTEES DISTRICT 6
Over Votes,,0.48%,53,SCHOOL BOARD OF TRUSTEES DISTRICT 6
"HARRIS, NEIL",NP,66.15%,"7,366",SHERIFF
"LEHMANN, WILL",NP,30.59%,"3,406",SHERIFF
Under Votes,,3.23%,360,SHERIFF
Over Votes,,0.04%,4,SHERIFF
"CALTON, DARRELL C.",NP,39.75%,"3,696",ELKO CIVIC AUDITORIUM BOARD
"HERNANDEZ, GIL",NP,48.47%,"4,507",ELKO CIVIC AUDITORIUM BOARD
Under Votes,,11.76%,"1,093",ELKO CIVIC AUDITORIUM BOARD
Over Votes,,0.02%,2,ELKO CIVIC AUDITORIUM BOARD
Yes,,36.92%,"4,111",STATE QUESTION NO. 1
No,,58.82%,"6,550",STATE QUESTION NO. 1
Under Votes,,4.14%,461,STATE QUESTION NO. 1
Over Votes,,0.13%,14,STATE QUESTION NO. 1
Yes,,76.03%,"8,467",STATE QUESTION NO. 2
No,,22.11%,"2,462",STATE QUESTION NO. 2
Under Votes,,1.64%,183,STATE QUESTION NO. 2
Over Votes,,0.22%,24,STATE QUESTION NO. 2
Yes,,45.36%,"5,051",STATE QUESTION NO. 3
No,,49.67%,"5,531",STATE QUESTION NO. 3
Under Votes,,4.72%,526,STATE QUESTION NO. 3
Over Votes,,0.25%,28,STATE QUESTION NO. 3
Yes,,20.52%,"2,285",STATE QUESTION NO. 4
No,,74.34%,"8,279",STATE QUESTION NO. 4
Under Votes,,4.97%,553,STATE QUESTION NO. 4
Over Votes,,0.17%,19,STATE QUESTION NO. 4
Yes,,30.12%,"3,354",STATE QUESTION NO. 5
No,,58.23%,"6,484",STATE QUESTION NO. 5
Under Votes,,11.47%,"1,277",STATE QUESTION NO. 5
Over Votes,,0.19%,21,STATE QUESTION NO. 5
Yes,,35.08%,"3,906",STATE QUESTION NO. 6
No,,58.62%,"6,528",STATE QUESTION NO. 6
Under Votes,,6.25%,696,STATE QUESTION NO. 6
Over Votes,,0.05%,6,STATE QUESTION NO. 6
Yes,,33.70%,"3,753",STATE QUESTION NO. 7
No,,60.68%,"6,757",STATE QUESTION NO. 7
Under Votes,,5.54%,617,STATE QUESTION NO. 7
Over Votes,,0.08%,9,STATE QUESTION NO. 7
Yes,,60.96%,"6,788",STATE QUESTION NO. 8
No,,34.46%,"3,837",STATE QUESTION NO. 8
Under Votes,,4.45%,495,STATE QUESTION NO. 8
Over Votes,,0.14%,16,STATE QUESTION NO. 8
Yes,,37.86%,"4,216",STATE QUESTION NO. 9
No,,59.86%,"6,666",STATE QUESTION NO. 9
Under Votes,,2.19%,244,STATE QUESTION NO. 9
Over Votes,,0.09%,10,STATE QUESTION NO. 9
Yes,,72.57%,"8,081",QUESTION NO. 1
No,,23.73%,"2,643",QUESTION NO. 1
Under Votes,,3.48%,387,QUESTION NO. 1
Over Votes,,0.22%,25,QUESTION NO. 1
Yes,,16.57%,"1,845",QUESTION NO. 2
No,,80.94%,"9,013",QUESTION NO. 2
Under Votes,,2.42%,270,QUESTION NO. 2
Over Votes,,0.07%,8,QUESTION NO. 2
Yes,,55.11%,248,ADVISORY QUESTION FOR VOTERS OF THE CITY OF WEST WENDOVER
No,,42.44%,191,ADVISORY QUESTION FOR VOTERS OF THE CITY OF WEST WENDOVER
Under Votes,,2.44%,11,ADVISORY QUESTION FOR VOTERS OF THE CITY OF WEST WENDOVER
Over Votes,,0.00%,0,ADVISORY QUESTION FOR VOTERS OF THE CITY OF WEST WENDOVER
