candidate,party,percent,votes,office
None of these Candidates,,5.33%,233,ATTORNEY GENERAL
Under Votes,,3.64%,159,ATTORNEY GENERAL
Over Votes,,0.09%,4,ATTORNEY GENERAL
"MARVEL, JOHN",REP,77.35%,"1,134",STATE ASSEMBLY DISTRICT 32
"WEBER, MICHAEL",REP,12.69%,186,STATE ASSEMBLY DISTRICT 32
Under Votes,,9.96%,146,STATE ASSEMBLY DISTRICT 32
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 32
"CARPENTER, JOHN CIncumbent",REP,70.92%,478,STATE ASSEMBLY DISTRICT 33
"RAHN, MARY",LIB,16.47%,111,STATE ASSEMBLY DISTRICT 33
Under Votes,,12.61%,85,STATE ASSEMBLY DISTRICT 33
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 33
"DE BRAGA, MARCIA Incumbent",DEM,30.87%,688,STATE ASSEMBLY DISTRICT 35
"GOICOECHEA, PETE",REP,61.91%,"1,380",STATE ASSEMBLY DISTRICT 35
Under Votes,,7.22%,161,STATE ASSEMBLY DISTRICT 35
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 35
"CHAIREZ, DON",NP,17.26%,667,"JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,55.31%,"2,137","JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,27.38%,"1,058","JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,0.03%,1,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.03%,1,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,65.77%,"2,873","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,17.12%,748,"JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,17.08%,746,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.02%,1,"JUSTICE OF THE SUPREME COURT, SEAT D"
"WAGNER, RICHARD AIncumbent",NP,79.44%,"3,470",DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 1
Under Votes,,20.56%,898,DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 1
"IROZ, JOHN M",NP,54.17%,"2,366",DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 2
"SULLIVAN, JERRY VIncumbent",NP,43.43%,"1,897",DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 2
Under Votes,,2.40%,105,DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 2
"FERRY, CLIFF",NP,69.60%,"3,040",STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,30.40%,"1,328",STATE BOARD OF EDUCATION DISTRICT 10
Over Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
"CASSINELLI, DANIEL R.",REP,81.39%,"3,556",COUNTY COMMISSIONER SEAT C
Under Votes,,18.61%,813,COUNTY COMMISSIONER SEAT C
Over Votes,,0.00%,0,COUNTY COMMISSIONER SEAT C
"GIORDANO, CHUCK",REP,80.41%,"3,513",COUNTY COMMISSIONER SEAT E
Under Votes,,19.59%,856,COUNTY COMMISSIONER SEAT E
Over Votes,,0.00%,0,COUNTY COMMISSIONER SEAT E
"JOHNSON, JEFF",REP,81.99%,"3,582",COUNTY ASSESSOR
Under Votes,,18.01%,787,COUNTY ASSESSOR
Over Votes,,0.00%,0,COUNTY ASSESSOR
"SPERO, TAMI RAE",DEM,78.55%,"3,432",COUNTY CLERK
Under Votes,,21.45%,937,COUNTY CLERK
Over Votes,,0.00%,0,COUNTY CLERK
"ALLISON, DAVID",DEM,53.30%,"2,328",COUNTY DISTRICT ATTORNEY
"SHANE, VIRGINIA R.",REP,43.89%,"1,917",COUNTY DISTRICT ATTORNEY
Under Votes,,2.82%,123,COUNTY DISTRICT ATTORNEY
Over Votes,,0.00%,0,COUNTY DISTRICT ATTORNEY
"BAILEY, EILEEN",REP,78.27%,"3,419",COUNTY PUBLIC ADMINISTRATOR
Under Votes,,21.73%,949,COUNTY PUBLIC ADMINISTRATOR
Over Votes,,0.00%,0,COUNTY PUBLIC ADMINISTRATOR
"HAMMOND, MARY ANN",REP,85.76%,"3,746",COUNTY RECORDER
Under Votes,,14.24%,622,COUNTY RECORDER
Over Votes,,0.00%,0,COUNTY RECORDER
"BUNDY, BELLE",DEM,78.62%,"3,434",COUNTY TREASURER
Under Votes,,21.38%,934,COUNTY TREASURER
Over Votes,,0.00%,0,COUNTY TREASURER
"HILL, GENE A.",NP,59.91%,"2,617",SHERIFF
"KILGORE, ED",NP,38.53%,"1,683",SHERIFF
Under Votes,,1.56%,68,SHERIFF
Over Votes,,0.00%,0,SHERIFF
"FALEN, JOHN L.",NP,72.00%,"3,145",COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT A
Under Votes,,28.00%,"1,223",COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT A
Over Votes,,0.00%,0,COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT A
"SCHWARTZ, ROLFE H.",NP,75.18%,"3,284",COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT B
Under Votes,,24.82%,"1,084",COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT B
Over Votes,,0.00%,0,COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT B
"HILLYER, ANDREW C.",NP,69.99%,"3,057",COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT F
Under Votes,,30.01%,"1,311",COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT F
Over Votes,,0.00%,0,COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT F
"MOSS, BARBRA",NP,35.74%,"1,561",COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT G
"SEELIGER, JOHN  A.",NP,46.57%,"2,034",COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT G
Under Votes,,17.67%,772,COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT G
Over Votes,,0.02%,1,COUNTY SCHOOL DISTRICT BOARD TRUSTEE SEAT G
"BOSCH, SUSAN",NP,71.45%,"3,121",COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT A
Under Votes,,28.55%,"1,247",COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT A
Over Votes,,0.00%,0,COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT A
"SCHREMPP, RON E.",NP,71.59%,"3,127",COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT B
Under Votes,,28.41%,"1,241",COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT B
Over Votes,,0.00%,0,COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT B
"HAMMARGREN, WILLIAM (BILL)",NP,50.14%,"2,190",COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT C
"SUPPLEE, JOAN",NP,34.73%,"1,517",COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT C
Under Votes,,15.13%,661,COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT C
Over Votes,,0.00%,0,COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT C
"ORR, MARY J.",NP,71.89%,"3,140",COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT E
Under Votes,,28.11%,"1,228",COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT E
Over Votes,,0.00%,0,COUNTY HOSPITAL DISTRICT BOARD TRUSTEE SEAT E
"HARTLEY, DALE E.",NP,30.16%,38,MCDERMITT FIRE DISTRICT BOARD SEAT B
"WILSON, GARY",NP,49.21%,62,MCDERMITT FIRE DISTRICT BOARD SEAT B
Under Votes,,20.63%,26,MCDERMITT FIRE DISTRICT BOARD SEAT B
Over Votes,,0.00%,0,MCDERMITT FIRE DISTRICT BOARD SEAT B
Yes,,41.41%,"1,809",STATE QUESTION NO. 1
No,,53.59%,"2,341",STATE QUESTION NO. 1
Under Votes,,4.99%,218,STATE QUESTION NO. 1
Over Votes,,0.00%,0,STATE QUESTION NO. 1
Yes,,71.79%,"3,136",STATE QUESTION NO. 2
No,,26.72%,"1,167",STATE QUESTION NO. 2
Under Votes,,1.40%,61,STATE QUESTION NO. 2
Over Votes,,0.09%,4,STATE QUESTION NO. 2
Yes,,46.73%,"2,041",STATE QUESTION NO. 3
No,,48.28%,"2,109",STATE QUESTION NO. 3
Under Votes,,4.92%,215,STATE QUESTION NO. 3
Over Votes,,0.07%,3,STATE QUESTION NO. 3
Yes,,21.09%,921,STATE QUESTION NO. 4
No,,72.94%,"3,186",STATE QUESTION NO. 4
Under Votes,,5.95%,260,STATE QUESTION NO. 4
Over Votes,,0.02%,1,STATE QUESTION NO. 4
Yes,,32.10%,"1,402",STATE QUESTION NO. 5
No,,57.53%,"2,513",STATE QUESTION NO. 5
Under Votes,,10.37%,453,STATE QUESTION NO. 5
Over Votes,,0.00%,0,STATE QUESTION NO. 5
Yes,,35.35%,"1,544",STATE QUESTION NO. 6
No,,57.30%,"2,503",STATE QUESTION NO. 6
Under Votes,,7.35%,321,STATE QUESTION NO. 6
Over Votes,,0.00%,0,STATE QUESTION NO. 6
Yes,,32.88%,"1,436",STATE QUESTION NO. 7
No,,60.12%,"2,626",STATE QUESTION NO. 7
Under Votes,,6.98%,305,STATE QUESTION NO. 7
Over Votes,,0.02%,1,STATE QUESTION NO. 7
