candidate,party,percent,votes,office
"HANSEN, JACKI",NP,68.90%,"2,111",HOSPITAL BOARD TRUSTEE DISTRICT 1
"LATTA, FRANK",NP,21.12%,647,HOSPITAL BOARD TRUSTEE DISTRICT 1
Under Votes,,9.95%,305,HOSPITAL BOARD TRUSTEE DISTRICT 1
Over Votes,,0.03%,1,HOSPITAL BOARD TRUSTEE DISTRICT 1
"ALWORTH, JAMES",NP,61.39%,"1,881",HOSPITAL BOARD TRUSTEE DISTRICT 2
"ANDERSON, LEANNA L",NP,30.61%,938,HOSPITAL BOARD TRUSTEE DISTRICT 2
Under Votes,,7.93%,243,HOSPITAL BOARD TRUSTEE DISTRICT 2
Over Votes,,0.07%,2,HOSPITAL BOARD TRUSTEE DISTRICT 2
"LEONI, DANIEL J.",NP,73.69%,"2,258",HOSPITAL BOARD TRUSTEE DISTRICT 4
Under Votes,,26.31%,806,HOSPITAL BOARD TRUSTEE DISTRICT 4
Over Votes,,0.00%,0,HOSPITAL BOARD TRUSTEE DISTRICT 4
"BYBEE, MARK B",NP,81.92%,"2,510",HOSPITAL BOARD TRUSTEE DISTRICT 5
Under Votes,,18.08%,554,HOSPITAL BOARD TRUSTEE DISTRICT 5
Over Votes,,0.00%,0,HOSPITAL BOARD TRUSTEE DISTRICT 5
"PURINTON JR, DONALD R",NP,70.07%,"2,147",SCHOOL TRUSTEE SUBDISTRICT A
Under Votes,,29.93%,917,SCHOOL TRUSTEE SUBDISTRICT A
Over Votes,,0.00%,0,SCHOOL TRUSTEE SUBDISTRICT A
"WILLES, JEFFREY B",NP,77.19%,"2,365",SCHOOL TRUSTEE SUBDISTRICT E
Under Votes,,22.81%,699,SCHOOL TRUSTEE SUBDISTRICT E
Over Votes,,0.00%,0,SCHOOL TRUSTEE SUBDISTRICT E
"HILL, BUNNY",NP,75.78%,"2,322",SCHOOL TRUSTEE SUBDISTRICT F
Under Votes,,24.22%,742,SCHOOL TRUSTEE SUBDISTRICT F
Over Votes,,0.00%,0,SCHOOL TRUSTEE SUBDISTRICT F
Yes,,35.31%,"1,082",STATE QUESTION NO. 1
No,,58.58%,"1,795",STATE QUESTION NO. 1
Under Votes,,6.07%,186,STATE QUESTION NO. 1
Over Votes,,0.03%,1,STATE QUESTION NO. 1
Yes,,72.72%,"2,228",STATE QUESTION NO. 2
No,,24.41%,748,STATE QUESTION NO. 2
Under Votes,,2.42%,74,STATE QUESTION NO. 2
Over Votes,,0.46%,14,STATE QUESTION NO. 2
Yes,,35.87%,"1,099",STATE QUESTION NO. 3
No,,57.41%,"1,759",STATE QUESTION NO. 3
Under Votes,,6.66%,204,STATE QUESTION NO. 3
Over Votes,,0.07%,2,STATE QUESTION NO. 3
Yes,,14.75%,452,STATE QUESTION NO. 4
No,,78.82%,"2,415",STATE QUESTION NO. 4
Under Votes,,6.36%,195,STATE QUESTION NO. 4
Over Votes,,0.07%,2,STATE QUESTION NO. 4
Yes,,24.77%,759,STATE QUESTION NO. 5
No,,62.86%,"1,926",STATE QUESTION NO. 5
Under Votes,,12.30%,377,STATE QUESTION NO. 5
Over Votes,,0.07%,2,STATE QUESTION NO. 5
Yes,,33.00%,"1,011",STATE QUESTION NO. 6
No,,58.16%,"1,782",STATE QUESTION NO. 6
Under Votes,,8.71%,267,STATE QUESTION NO. 6
Over Votes,,0.13%,4,STATE QUESTION NO. 6
Yes,,36.03%,"1,104",STATE QUESTION NO. 7
No,,56.72%,"1,738",STATE QUESTION NO. 7
Under Votes,,7.18%,220,STATE QUESTION NO. 7
Over Votes,,0.07%,2,STATE QUESTION NO. 7
Yes,,53.46%,"1,638",STATE QUESTION NO. 8
No,,40.24%,"1,233",STATE QUESTION NO. 8
Under Votes,,6.17%,189,STATE QUESTION NO. 8
Over Votes,,0.13%,4,STATE QUESTION NO. 8
