candidate,party,percent,votes,office
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 39
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 39
"KNECHT, RON",REP,50.27%,"7,219",STATE ASSEMBLY DISTRICT 40
"WILKE, STACIE",DEM,46.41%,"6,664",STATE ASSEMBLY DISTRICT 40
Under Votes,,3.27%,469,STATE ASSEMBLY DISTRICT 40
Over Votes,,0.06%,8,STATE ASSEMBLY DISTRICT 40
"CHAIREZ, DON",NP,18.21%,"3,189","JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,55.00%,"9,630","JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,18.49%,"3,237","JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,8.24%,"1,443","JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.06%,10,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,70.81%,"12,398","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,16.79%,"2,939","JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,12.33%,"2,159","JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.07%,13,"JUSTICE OF THE SUPREME COURT, SEAT D"
"GRIFFIN, MICHAEL RIncumbent",NP,77.59%,"13,586",DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 1
Under Votes,,22.41%,"3,923",DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 1
"MADDOX, WILLIAM AIncumbent",NP,70.01%,"12,258",DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 2
Under Votes,,29.99%,"5,251",DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 2
"DAWLEY, DAVE",NP,48.41%,"8,476",ASSESSOR
"MILLIGAN, TAUNYA",NP,37.00%,"6,479",ASSESSOR
Under Votes,,14.36%,"2,515",ASSESSOR
Over Votes,,0.22%,39,ASSESSOR
"DICKENS, MARY ANN",NP,23.30%,"4,079",CLERK-RECORDER
"GLOVER, ALAN",NP,67.19%,"11,765",CLERK-RECORDER
Under Votes,,9.41%,"1,647",CLERK-RECORDER
Over Votes,,0.10%,18,CLERK-RECORDER
"WATERS, NOEL S",NP,76.34%,"13,367",DISTRICT ATTORNEY
Under Votes,,23.66%,"4,142",DISTRICT ATTORNEY
Over Votes,,0.00%,0,DISTRICT ATTORNEY
"FURLONG, KENNETH T",NP,54.76%,"9,588",SHERIFF
"GUIMONT, BOB",NP,41.27%,"7,226",SHERIFF
Under Votes,,3.84%,673,SHERIFF
Over Votes,,0.13%,22,SHERIFF
"KRAMER, AL",NP,78.46%,"13,737",TREASURER
Under Votes,,21.54%,"3,772",TREASURER
Over Votes,,0.00%,0,TREASURER
"WILLIAMSON, ROBIN",NP,72.63%,"12,716","SUPERVISOR, WARD 1"
Under Votes,,27.37%,"4,793","SUPERVISOR, WARD 1"
Over Votes,,0.00%,0,"SUPERVISOR, WARD 1"
"LIVERMORE, PETE",NP,47.34%,"8,288","SUPERVISOR, WARD 3"
"WEAVER, NEIL",NP,38.84%,"6,801","SUPERVISOR, WARD 3"
Under Votes,,13.06%,"2,286","SUPERVISOR, WARD 3"
Over Votes,,0.77%,134,"SUPERVISOR, WARD 3"
"SCOGGIN , NORMAN E",NP,72.88%,"12,760","SCHOOL TRUSTEE, DISTRICT 1"
Under Votes,,27.12%,"4,749","SCHOOL TRUSTEE, DISTRICT 1"
Over Votes,,0.00%,0,"SCHOOL TRUSTEE, DISTRICT 1"
"HUKARI, JAMES R",NP,69.96%,"12,249","SCHOOL TRUSTEE, DISTRICT 3"
Under Votes,,30.04%,"5,260","SCHOOL TRUSTEE, DISTRICT 3"
Over Votes,,0.00%,0,"SCHOOL TRUSTEE, DISTRICT 3"
"CROWELL, BOB",NP,73.03%,"12,786","SCHOOL TRUSTEE, DISTRICT 4"
Under Votes,,26.97%,"4,723","SCHOOL TRUSTEE, DISTRICT 4"
Over Votes,,0.00%,0,"SCHOOL TRUSTEE, DISTRICT 4"
"WARD, SHEILA M",NP,72.19%,"12,639","SCHOOL TRUSTEE, DISTRICT 6"
Under Votes,,27.81%,"4,870","SCHOOL TRUSTEE, DISTRICT 6"
Over Votes,,0.00%,0,"SCHOOL TRUSTEE, DISTRICT 6"
Yes,,58.38%,"10,221",STATE QUESTION NO. 1
No,,38.77%,"6,788",STATE QUESTION NO. 1
Under Votes,,2.70%,473,STATE QUESTION NO. 1
Over Votes,,0.15%,27,STATE QUESTION NO. 1
Yes,,65.78%,"11,518",STATE QUESTION NO. 2
No,,32.83%,"5,748",STATE QUESTION NO. 2
Under Votes,,1.21%,212,STATE QUESTION NO. 2
Over Votes,,0.18%,31,STATE QUESTION NO. 2
Yes,,35.73%,"6,256",STATE QUESTION NO. 3
No,,59.35%,"10,391",STATE QUESTION NO. 3
Under Votes,,4.71%,824,STATE QUESTION NO. 3
Over Votes,,0.22%,38,STATE QUESTION NO. 3
Yes,,16.41%,"2,874",STATE QUESTION NO. 4
No,,78.87%,"13,809",STATE QUESTION NO. 4
Under Votes,,4.60%,805,STATE QUESTION NO. 4
Over Votes,,0.12%,21,STATE QUESTION NO. 4
Yes,,34.20%,"5,988",STATE QUESTION NO. 5
No,,57.00%,"9,981",STATE QUESTION NO. 5
Under Votes,,8.64%,"1,512",STATE QUESTION NO. 5
Over Votes,,0.16%,28,STATE QUESTION NO. 5
Yes,,33.50%,"5,866",STATE QUESTION NO. 6
No,,59.67%,"10,448",STATE QUESTION NO. 6
Under Votes,,6.71%,"1,175",STATE QUESTION NO. 6
Over Votes,,0.11%,20,STATE QUESTION NO. 6
Yes,,37.37%,"6,543",STATE QUESTION NO. 7
No,,57.09%,"9,996",STATE QUESTION NO. 7
Under Votes,,5.48%,959,STATE QUESTION NO. 7
Over Votes,,0.06%,11,STATE QUESTION NO. 7
Yes,,54.88%,"9,609",STATE QUESTION NO. 8
No,,41.25%,"7,223",STATE QUESTION NO. 8
Under Votes,,3.67%,643,STATE QUESTION NO. 8
Over Votes,,0.19%,34,STATE QUESTION NO. 8
Yes,,36.70%,"6,425",STATE QUESTION NO. 9
No,,61.85%,"10,830",STATE QUESTION NO. 9
Under Votes,,1.33%,232,STATE QUESTION NO. 9
Over Votes,,0.13%,22,STATE QUESTION NO. 9
