candidate,party,percent,votes,office
"WENNHOLD, CONNIE",NP,100.00%,"11,452","SCHOOL BOARD TRUSTEE, AREA 6"
Under Votes,,0.00%,0,"SCHOOL BOARD TRUSTEE, AREA 6"
Over Votes,,0.00%,0,"SCHOOL BOARD TRUSTEE, AREA 6"
"ROMAN, KEITH",NP,100.00%,"11,193","SCHOOL BOARD TRUSTEE, AREA 7"
Under Votes,,0.00%,0,"SCHOOL BOARD TRUSTEE, AREA 7"
Over Votes,,0.00%,0,"SCHOOL BOARD TRUSTEE, AREA 7"
"COOK, TOM",NP,27.32%,715,TOWN OF GARDNERVILLE
"DELOREY, JOSEPH",NP,14.14%,370,TOWN OF GARDNERVILLE
"GARBER, KENNETH",NP,16.43%,430,TOWN OF GARDNERVILLE
"PHILIPS, MIKE",NP,18.84%,493,TOWN OF GARDNERVILLE
"SMITH, JERRY",NP,23.27%,609,TOWN OF GARDNERVILLE
Under Votes,,0.00%,0,TOWN OF GARDNERVILLE
Over Votes,,0.00%,0,TOWN OF GARDNERVILLE
"ECKHOUT, CHRISTINE",NP,13.83%,52,TOWN OF GENOA
"HOFFMAN, ED",NP,22.34%,84,TOWN OF GENOA
"HOLLISTER, STEVEN",NP,12.50%,47,TOWN OF GENOA
"KNIGHT, SUE",NP,18.09%,68,TOWN OF GENOA
"MILUCK, NANCY",NP,7.98%,30,TOWN OF GENOA
"QUENZER, CARLA",NP,7.98%,30,TOWN OF GENOA
"SAFFRAN, MICHAEL",NP,17.29%,65,TOWN OF GENOA
Under Votes,,0.00%,0,TOWN OF GENOA
Over Votes,,0.00%,0,TOWN OF GENOA
"CHICHESTER, ROSS",NP,34.73%,876,TOWN OF MINDEN
"HADFIELD, ROBERT S.",NP,32.08%,809,TOWN OF MINDEN
"SHEETS, DAVID C.",NP,33.19%,837,TOWN OF MINDEN
Under Votes,,0.00%,0,TOWN OF MINDEN
Over Votes,,0.00%,0,TOWN OF MINDEN
"GRAY, GORDON",NP,35.71%,"4,931",EAST FORK SWIMMING POOL DISTRICT
"JENNESS, WENDELL",NP,27.92%,"3,855",EAST FORK SWIMMING POOL DISTRICT
"LINDSEY, SHELDON",NP,36.37%,"5,021",EAST FORK SWIMMING POOL DISTRICT
Under Votes,,0.00%,0,EAST FORK SWIMMING POOL DISTRICT
Over Votes,,0.00%,0,EAST FORK SWIMMING POOL DISTRICT
"BARNUM, BILL",NP,20.47%,"1,261",GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT
"FIELDS, JIMMIE H.",NP,15.25%,939,GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT
"PALEN, JOHN",NP,18.83%,"1,160",GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT
"REAVIS, BRUCE H.",NP,19.09%,"1,176",GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT
"WAGNER, AL",NP,26.35%,"1,623",GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT
Under Votes,,0.00%,0,GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT
Over Votes,,0.00%,0,GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT
"BAER, ART",NP,29.89%,633,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT
"EVANS, RILEY",NP,25.31%,536,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT
"RIEKENBERG, JOANNE",NP,18.89%,400,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT
"SWANSON, CHARLES H.",NP,25.92%,549,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT
Under Votes,,0.00%,0,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT
Over Votes,,0.00%,0,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT
"DORTON, BRAD",NP,14.45%,100,ROUND HILL GENERAL IMPROVEMENT DISTRICT
"FRANCOEUR, JOE",NP,23.70%,164,ROUND HILL GENERAL IMPROVEMENT DISTRICT
"LALLY, DON",NP,20.23%,140,ROUND HILL GENERAL IMPROVEMENT DISTRICT
"MATTHEWS, MARY SUE",NP,21.10%,146,ROUND HILL GENERAL IMPROVEMENT DISTRICT
"TESHARA, STEVE",NP,20.52%,142,ROUND HILL GENERAL IMPROVEMENT DISTRICT
Under Votes,,0.00%,0,ROUND HILL GENERAL IMPROVEMENT DISTRICT
Over Votes,,0.00%,0,ROUND HILL GENERAL IMPROVEMENT DISTRICT
"BEELIK, VICTOR",NP,13.35%,405,TAHOE-DOUGLAS FIRE PROTECTION DISTRICT
"CLASON, ROY",NP,30.98%,940,TAHOE-DOUGLAS FIRE PROTECTION DISTRICT
"FORVILLY, FRANK H.",NP,31.25%,948,TAHOE-DOUGLAS FIRE PROTECTION DISTRICT
"JOHNSON, CLAY",NP,24.42%,741,TAHOE-DOUGLAS FIRE PROTECTION DISTRICT
Under Votes,,0.00%,0,TAHOE-DOUGLAS FIRE PROTECTION DISTRICT
Over Votes,,0.00%,0,TAHOE-DOUGLAS FIRE PROTECTION DISTRICT
Yes,,51.40%,"8,477",STATE QUESTION NO. 1
No,,48.60%,"8,015",STATE QUESTION NO. 1
Under Votes,,0.00%,0,STATE QUESTION NO. 1
Over Votes,,0.00%,0,STATE QUESTION NO. 1
Yes,,68.61%,"11,412",STATE QUESTION NO. 2
No,,31.39%,"5,222",STATE QUESTION NO. 2
Under Votes,,0.00%,0,STATE QUESTION NO. 2
Over Votes,,0.00%,0,STATE QUESTION NO. 2
Yes,,44.05%,"7,142",STATE QUESTION NO. 3
No,,55.95%,"9,071",STATE QUESTION NO. 3
Under Votes,,0.00%,0,STATE QUESTION NO. 3
Over Votes,,0.00%,0,STATE QUESTION NO. 3
Yes,,17.33%,"2,803",STATE QUESTION NO. 4
No,,82.67%,"13,375",STATE QUESTION NO. 4
Under Votes,,0.00%,0,STATE QUESTION NO. 4
Over Votes,,0.00%,0,STATE QUESTION NO. 4
Yes,,43.25%,"6,624",STATE QUESTION NO. 5
No,,56.75%,"8,690",STATE QUESTION NO. 5
Under Votes,,0.00%,0,STATE QUESTION NO. 5
Over Votes,,0.00%,0,STATE QUESTION NO. 5
Yes,,34.99%,"5,503",STATE QUESTION NO. 6
No,,65.01%,"10,225",STATE QUESTION NO. 6
Under Votes,,0.00%,0,STATE QUESTION NO. 6
Over Votes,,0.00%,0,STATE QUESTION NO. 6
Yes,,35.04%,"5,620",STATE QUESTION NO. 7
No,,64.96%,"10,419",STATE QUESTION NO. 7
Under Votes,,0.00%,0,STATE QUESTION NO. 7
Over Votes,,0.00%,0,STATE QUESTION NO. 7
Yes,,52.85%,"8,495",STATE QUESTION NO. 8
No,,47.15%,"7,579",STATE QUESTION NO. 8
Under Votes,,0.00%,0,STATE QUESTION NO. 8
Over Votes,,0.00%,0,STATE QUESTION NO. 8
Yes,,36.20%,"5,855",STATE QUESTION NO. 9
No,,63.80%,"10,318",STATE QUESTION NO. 9
Under Votes,,0.00%,0,STATE QUESTION NO. 9
Over Votes,,0.00%,0,STATE QUESTION NO. 9
Yes,,25.04%,"4,159",DOUGLAS COUNTY QUESTION NO. 1
No,,74.96%,"12,449",DOUGLAS COUNTY QUESTION NO. 1
Under Votes,,0.00%,0,DOUGLAS COUNTY QUESTION NO. 1
Over Votes,,0.00%,0,DOUGLAS COUNTY QUESTION NO. 1
Yes,,52.46%,"8,659",DOUGLAS COUNTY QUESTION NO. 2
No,,47.54%,"7,848",DOUGLAS COUNTY QUESTION NO. 2
Under Votes,,0.00%,0,DOUGLAS COUNTY QUESTION NO. 2
Over Votes,,0.00%,0,DOUGLAS COUNTY QUESTION NO. 2
Yes,,30.28%,"4,992",DOUGLAS COUNTY QUESTION NO. 3
No,,69.72%,"11,496",DOUGLAS COUNTY QUESTION NO. 3
Under Votes,,0.00%,0,DOUGLAS COUNTY QUESTION NO. 3
Over Votes,,0.00%,0,DOUGLAS COUNTY QUESTION NO. 3
