candidate,party,percent,votes,office
Over Votes,,0.05%,1,COUNTY CLERK
"DAVIS, KAREN L.",DEM,30.07%,563,COUNTY COMMISSIONER DIST 2
"KELLEY, BRADLEY J.",REP,67.52%,"1,264",COUNTY COMMISSIONER DIST 2
Under Votes,,2.35%,44,COUNTY COMMISSIONER DIST 2
Over Votes,,0.05%,1,COUNTY COMMISSIONER DIST 2
"PIERCE, GRADY",DEM,39.58%,741,COUNTY COMMISSIONER DIST 3
"YARBRO, MICKEY",DEM,55.40%,"1,037",COUNTY COMMISSIONER DIST 3
Under Votes,,5.02%,94,COUNTY COMMISSIONER DIST 3
Over Votes,,0.00%,0,COUNTY COMMISSIONER DIST 3
"GONZALEZ, HAZEL A.",NP,81.62%,"1,528",COUNTY HOSPITAL DIST TRUSTEE SEAT D
Under Votes,,18.38%,344,COUNTY HOSPITAL DIST TRUSTEE SEAT D
Over Votes,,0.00%,0,COUNTY HOSPITAL DIST TRUSTEE SEAT D
"NAVERAN, WENDY M.",NP,81.52%,"1,526",COUNTY HOSPITAL DIST TRUSTEE SEAT E
Under Votes,,18.48%,346,COUNTY HOSPITAL DIST TRUSTEE SEAT E
Over Votes,,0.00%,0,COUNTY HOSPITAL DIST TRUSTEE SEAT E
"HOLLAND, WALTER",NP,12.95%,970,COUNTY SCHOOL DIST TRUSTEE AREA ONE
"HUNTINGTON, BEVERLY L.",NP,12.93%,968,COUNTY SCHOOL DIST TRUSTEE AREA ONE
"LAKE, MARK D.",NP,10.28%,770,COUNTY SCHOOL DIST TRUSTEE AREA ONE
"LENZ, JOEL",NP,14.02%,"1,050",COUNTY SCHOOL DIST TRUSTEE AREA ONE
"SCHLUND, JOLANDA A.",NP,5.38%,403,COUNTY SCHOOL DIST TRUSTEE AREA ONE
"SULLIVAN, FRANK A.",NP,11.71%,877,COUNTY SCHOOL DIST TRUSTEE AREA ONE
"VOTAW, TREASSA",NP,5.97%,447,COUNTY SCHOOL DIST TRUSTEE AREA ONE
Under Votes,,26.70%,"1,999",COUNTY SCHOOL DIST TRUSTEE AREA ONE
Over Votes,,0.05%,4,COUNTY SCHOOL DIST TRUSTEE AREA ONE
"HANDFORD, ROBERT W.",NP,42.79%,801,COUNTY SCHOOL DIST TRUSTEE AREA THREE
"WESTOVER, JOAN C.",NP,48.08%,900,COUNTY SCHOOL DIST TRUSTEE AREA THREE
Under Votes,,9.03%,169,COUNTY SCHOOL DIST TRUSTEE AREA THREE
Over Votes,,0.11%,2,COUNTY SCHOOL DIST TRUSTEE AREA THREE
"WHITE, HILARY M.",NP,71.23%,52,KINGSTON TOWN BOARD SEAT A
Under Votes,,28.77%,21,KINGSTON TOWN BOARD SEAT A
Over Votes,,0.00%,0,KINGSTON TOWN BOARD SEAT A
"KIELHACK, JAMES M.",NP,50.68%,37,KINGSTON TOWN BOARD SEAT D
"ROBBINS, DELLA M.",NP,43.84%,32,KINGSTON TOWN BOARD SEAT D
Under Votes,,5.48%,4,KINGSTON TOWN BOARD SEAT D
Over Votes,,0.00%,0,KINGSTON TOWN BOARD SEAT D
"STEPHENS, FRANK J.L.",NP,28.37%,531,COUNTY SHERIFF
"UNGER, RON",NP,67.09%,"1,256",COUNTY SHERIFF
Under Votes,,4.54%,85,COUNTY SHERIFF
Over Votes,,0.00%,0,COUNTY SHERIFF
"FORGERON, HY",DEM,76.55%,"1,433",COUNTY DISTRICT ATTORNEY
Under Votes,,23.45%,439,COUNTY DISTRICT ATTORNEY
Over Votes,,0.00%,0,COUNTY DISTRICT ATTORNEY
"PAYNE, SUSAN",DEM,36.16%,677,COUNTY RECORDER
"TREVINO, IDONNA M.",REP,61.86%,"1,158",COUNTY RECORDER
Under Votes,,1.87%,35,COUNTY RECORDER
Over Votes,,0.11%,2,COUNTY RECORDER
"POWRIE, GRACE",REP,80.77%,"1,512",COUNTY TREASURER
"SMITH, TAMMY L.",REP,16.67%,312,COUNTY TREASURER
Under Votes,,2.56%,48,COUNTY TREASURER
Over Votes,,0.00%,0,COUNTY TREASURER
Yes,,37.82%,708,STATE QUESTION NO. 1
No,,59.24%,"1,109",STATE QUESTION NO. 1
Under Votes,,2.94%,55,STATE QUESTION NO. 1
Over Votes,,0.00%,0,STATE QUESTION NO. 1
Yes,,79.54%,"1,489",STATE QUESTION NO. 2
No,,18.96%,355,STATE QUESTION NO. 2
Under Votes,,1.34%,25,STATE QUESTION NO. 2
Over Votes,,0.16%,3,STATE QUESTION NO. 2
Yes,,45.19%,846,STATE QUESTION NO. 3
No,,51.23%,959,STATE QUESTION NO. 3
Under Votes,,3.47%,65,STATE QUESTION NO. 3
Over Votes,,0.11%,2,STATE QUESTION NO. 3
Yes,,21.21%,397,STATE QUESTION NO. 4
No,,74.84%,"1,401",STATE QUESTION NO. 4
Under Votes,,3.85%,72,STATE QUESTION NO. 4
Over Votes,,0.11%,2,STATE QUESTION NO. 4
Yes,,31.84%,596,STATE QUESTION NO. 5
No,,61.00%,"1,142",STATE QUESTION NO. 5
Under Votes,,6.78%,127,STATE QUESTION NO. 5
Over Votes,,0.37%,7,STATE QUESTION NO. 5
Yes,,35.31%,661,STATE QUESTION NO. 6
No,,60.36%,"1,130",STATE QUESTION NO. 6
Under Votes,,4.22%,79,STATE QUESTION NO. 6
Over Votes,,0.11%,2,STATE QUESTION NO. 6
Yes,,34.78%,651,STATE QUESTION NO. 7
No,,61.38%,"1,149",STATE QUESTION NO. 7
Under Votes,,3.79%,71,STATE QUESTION NO. 7
Over Votes,,0.05%,1,STATE QUESTION NO. 7
