candidate,party,percent,votes,office
"MANKINS, ROY L",DEM,15.02%,212,STATE ASSEMBLY DISTRICT 36
"SHERER, ROD",REP,66.69%,941,STATE ASSEMBLY DISTRICT 36
Under Votes,,6.38%,90,STATE ASSEMBLY DISTRICT 36
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 36
"DINI, GEORGE R",DEM,38.91%,363,STATE ASSEMBLY DISTRICT 38
"GRADY, TOM",REP,53.91%,503,STATE ASSEMBLY DISTRICT 38
"GOMEZ, DENNIS",IAP,3.54%,33,STATE ASSEMBLY DISTRICT 38
Under Votes,,3.64%,34,STATE ASSEMBLY DISTRICT 38
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 38
"CHAIREZ, DON",NP,15.61%,"1,159","JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,58.01%,"4,308","JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,18.84%,"1,399","JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,7.51%,558,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.03%,2,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,71.53%,"5,312","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,16.08%,"1,194","JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,12.39%,920,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
"HUFF, DAVID AIncumbent",NP,82.99%,"6,163",DISTRICT COURT JUDGE DISTRICT 3 DEPARTMENT 1
Under Votes,,17.01%,"1,263",DISTRICT COURT JUDGE DISTRICT 3 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 3 DEPARTMENT 1
"BLAKE, ARCHIE EIncumbent",NP,81.04%,"6,018",DISTRICT COURT JUDGE DISTRICT 3 DEPARTMENT 2
Under Votes,,18.96%,"1,408",DISTRICT COURT JUDGE DISTRICT 3 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 3 DEPARTMENT 2
"ESTES, ROBERT EIncumbent",NP,80.66%,"5,990",DISTRICT COURT JUDGE DISTRICT 3 DEPARTMENT 3
Under Votes,,19.34%,"1,436",DISTRICT COURT JUDGE DISTRICT 3 DEPARTMENT 3
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 3 DEPARTMENT 3
"FERRY, CLIFF",NP,71.03%,"5,275",STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,28.97%,"2,151",STATE BOARD OF EDUCATION DISTRICT 10
Over Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
"GREEN, NORMA J.Incumbent",REP,86.46%,"6,420",ASSESSOR
Under Votes,,13.54%,"1,005",ASSESSOR
Over Votes,,0.00%,0,ASSESSOR
"VENTURACCI, GLORIA Incumbent",REP,89.76%,"6,665",COUNTY CLERK/TREASURER
Under Votes,,10.24%,760,COUNTY CLERK/TREASURER
Over Votes,,0.00%,0,COUNTY CLERK/TREASURER
"WASHBURN, GWEN Incumbent",REP,87.03%,"6,463",COUNTY COMMISSIONER DISTRICT 2
Under Votes,,12.97%,963,COUNTY COMMISSIONER DISTRICT 2
Over Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT 2
"MORETTO, TRENA Incumbent",REP,78.99%,"5,866",COUNTY RECORDER
"TRACY JR, LINWOOD E.",IAP,16.09%,"1,195",COUNTY RECORDER
Under Votes,,4.89%,363,COUNTY RECORDER
Over Votes,,0.03%,2,COUNTY RECORDER
"MALLORY, ART Incumbent",REP,80.33%,"5,965",DISTRICT ATTORNEY
Under Votes,,19.67%,"1,461",DISTRICT ATTORNEY
Over Votes,,0.00%,0,DISTRICT ATTORNEY
"SERPA, JOHN Incumbent",DEM,49.89%,"3,705",PUBLIC ADMINISTRATOR
"WHIMPLE, J. RICK",REP,45.50%,"3,379",PUBLIC ADMINISTRATOR
Under Votes,,4.58%,340,PUBLIC ADMINISTRATOR
Over Votes,,0.03%,2,PUBLIC ADMINISTRATOR
"BUCKMASTER, LOU Incumbent",NP,22.08%,"5,101",BOARD OF SCHOOL TRUSTEE
"DENNEY, PRESTON D.",NP,17.14%,"3,959",BOARD OF SCHOOL TRUSTEE
"HYDE, MARK",NP,20.94%,"4,838",BOARD OF SCHOOL TRUSTEE
"KLENAKIS, TONY",NP,14.97%,"3,458",BOARD OF SCHOOL TRUSTEE
"SMITH, DEBBIE GETTOIncumbent",NP,21.82%,"5,040",BOARD OF SCHOOL TRUSTEE
Under Votes,,3.00%,693,BOARD OF SCHOOL TRUSTEE
Over Votes,,0.04%,10,BOARD OF SCHOOL TRUSTEE
"DUYN, KEVIN M.",NP,23.42%,"1,739",SHERIFF
"INGRAM, RICHARD Incumbent",NP,67.44%,"5,008",SHERIFF
Under Votes,,9.12%,677,SHERIFF
Over Votes,,0.03%,2,SHERIFF
"KARO, NORMAN Incumbent",NP,22.76%,"3,839",MOSQUITO & WEED ABATEMENT BOARD
"LYVERSE, LOUIS B.",NP,15.93%,"2,688",MOSQUITO & WEED ABATEMENT BOARD
"WARD, KAE L.Incumbent",NP,25.13%,"4,239",MOSQUITO & WEED ABATEMENT BOARD
"WOOD, JIM Incumbent",NP,30.53%,"5,150",MOSQUITO & WEED ABATEMENT BOARD
Under Votes,,5.62%,948,MOSQUITO & WEED ABATEMENT BOARD
Over Votes,,0.04%,6,MOSQUITO & WEED ABATEMENT BOARD
Yes,,43.85%,"3,256",STATE QUESTION NO. 1
No,,53.73%,"3,990",STATE QUESTION NO. 1
Under Votes,,2.38%,177,STATE QUESTION NO. 1
Over Votes,,0.04%,3,STATE QUESTION NO. 1
Yes,,77.48%,"5,754",STATE QUESTION NO. 2
No,,21.44%,"1,592",STATE QUESTION NO. 2
Under Votes,,0.94%,70,STATE QUESTION NO. 2
Over Votes,,0.13%,10,STATE QUESTION NO. 2
Yes,,49.02%,"3,640",STATE QUESTION NO. 3
No,,47.78%,"3,548",STATE QUESTION NO. 3
Under Votes,,3.12%,232,STATE QUESTION NO. 3
Over Votes,,0.08%,6,STATE QUESTION NO. 3
Yes,,19.80%,"1,470",STATE QUESTION NO. 4
No,,76.70%,"5,696",STATE QUESTION NO. 4
Under Votes,,3.46%,257,STATE QUESTION NO. 4
Over Votes,,0.04%,3,STATE QUESTION NO. 4
Yes,,33.69%,"2,502",STATE QUESTION NO. 5
No,,59.20%,"4,396",STATE QUESTION NO. 5
Under Votes,,7.07%,525,STATE QUESTION NO. 5
Over Votes,,0.04%,3,STATE QUESTION NO. 5
Yes,,34.85%,"2,588",STATE QUESTION NO. 6
No,,60.05%,"4,459",STATE QUESTION NO. 6
Under Votes,,5.09%,378,STATE QUESTION NO. 6
Over Votes,,0.01%,1,STATE QUESTION NO. 6
Yes,,31.91%,"2,370",STATE QUESTION NO. 7
No,,63.70%,"4,730",STATE QUESTION NO. 7
Under Votes,,4.38%,325,STATE QUESTION NO. 7
Over Votes,,0.01%,1,STATE QUESTION NO. 7
