candidate,party,percent,votes,office
"SANTOR, KEN",DEM,23.80%,104,STATE TREASURER
None of these Candidates,,10.98%,48,STATE TREASURER
Under Votes,,0.00%,0,STATE TREASURER
Over Votes,,0.00%,0,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,58.85%,256,STATE CONTROLLER
"BLACK, LISA",IAP,5.75%,25,STATE CONTROLLER
"EBY, CHUCK",LIB,2.99%,13,STATE CONTROLLER
"LEE, JOHN",DEM,23.91%,104,STATE CONTROLLER
None of these Candidates,,8.51%,37,STATE CONTROLLER
Under Votes,,0.00%,0,STATE CONTROLLER
Over Votes,,0.00%,0,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,5.96%,26,ATTORNEY GENERAL
"HUNT, JOHN",DEM,27.98%,122,ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,58.72%,256,ATTORNEY GENERAL
None of these Candidates,,7.34%,32,ATTORNEY GENERAL
Under Votes,,0.00%,0,ATTORNEY GENERAL
Over Votes,,0.00%,0,ATTORNEY GENERAL
"HOLMGREN, JACKIE A",IAP,11.50%,49,STATE ASSEMBLY DISTRICT 36
"MANKINS, ROY L",DEM,26.76%,114,STATE ASSEMBLY DISTRICT 36
"SHERER, ROD",REP,61.74%,263,STATE ASSEMBLY DISTRICT 36
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 36
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 36
"CHAIREZ, DON",NP,22.98%,94,"JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,44.74%,183,"JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,32.27%,132,"JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,71.77%,272,"JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,28.23%,107,"JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
"DAVIS, JOHN PIncumbent",NP,100.00%,334,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 1
Under Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 1
"DUFFY, LAUREL",NP,28.18%,113,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 2
"LANE, ROBERT WIncumbent",NP,71.82%,288,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 2
Under Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 2
"FERRY, CLIFF",NP,100.00%,296,STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
Over Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
"LEE, RUTH P.",REP,82.41%,356,COUNTY ASSESSOR
"MCCLURKAN, GLORIA A.",REP,17.59%,76,COUNTY ASSESSOR
Under Votes,,0.00%,0,COUNTY ASSESSOR
Over Votes,,0.00%,0,COUNTY ASSESSOR
"BOLAND, NANCY J.",DEM,31.55%,136,COUNTY AUDITOR-RECORDER
"SCOTT, KAREN A.",DEM,68.45%,295,COUNTY AUDITOR-RECORDER
Under Votes,,0.00%,0,COUNTY AUDITOR-RECORDER
Over Votes,,0.00%,0,COUNTY AUDITOR-RECORDER
"ELGAN, LACINDA",REP,55.28%,241,COUNTY CLERK TREASURER
"SIRI, DE ANN",REP,44.72%,195,COUNTY CLERK TREASURER
Under Votes,,0.00%,0,COUNTY CLERK TREASURER
Over Votes,,0.00%,0,COUNTY CLERK TREASURER
"GILLUM, R. J.",DEM,49.53%,105,"COUNTY COMMISSIONER, DISTRICT 1"
"HONEYCUTT, DOLORES",REP,50.47%,107,"COUNTY COMMISSIONER, DISTRICT 1"
Under Votes,,0.00%,0,"COUNTY COMMISSIONER, DISTRICT 1"
Over Votes,,0.00%,0,"COUNTY COMMISSIONER, DISTRICT 1"
"KADLIC, JOHN J.",REP,44.58%,185,COUNTY DISTRICT ATTORNEY
"SCHAEFFER, WILLIAM E.",REP,55.42%,230,COUNTY DISTRICT ATTORNEY
Under Votes,,0.00%,0,COUNTY DISTRICT ATTORNEY
Over Votes,,0.00%,0,COUNTY DISTRICT ATTORNEY
"ELGAN, KENNETH N.",NP,100.00%,370,SHERIFF
Under Votes,,0.00%,0,SHERIFF
Over Votes,,0.00%,0,SHERIFF
"INGRAHAM, KATHERYN JEAN",NP,100.00%,296,SCHOOL BOARD SEAT C
Under Votes,,0.00%,0,SCHOOL BOARD SEAT C
Over Votes,,0.00%,0,SCHOOL BOARD SEAT C
"KIRBY, WILLIAM  C.",NP,75.06%,295,SCHOOL BOARD SEAT D
"PRIOR, MARGARET ANN",NP,24.94%,98,SCHOOL BOARD SEAT D
Under Votes,,0.00%,0,SCHOOL BOARD SEAT D
Over Votes,,0.00%,0,SCHOOL BOARD SEAT D
"SHAW, CYNTHIA SUZANNE",NP,100.00%,311,SCHOOL BOARD SEAT E
Under Votes,,0.00%,0,SCHOOL BOARD SEAT E
Over Votes,,0.00%,0,SCHOOL BOARD SEAT E
Yes,,31.13%,132,STATE QUESTION NO. 1
No,,68.87%,292,STATE QUESTION NO. 1
Under Votes,,0.00%,0,STATE QUESTION NO. 1
Over Votes,,0.00%,0,STATE QUESTION NO. 1
Yes,,74.94%,323,STATE QUESTION NO. 2
No,,25.06%,108,STATE QUESTION NO. 2
Under Votes,,0.00%,0,STATE QUESTION NO. 2
Over Votes,,0.00%,0,STATE QUESTION NO. 2
Yes,,40.63%,169,STATE QUESTION NO. 3
No,,59.38%,247,STATE QUESTION NO. 3
Under Votes,,0.00%,0,STATE QUESTION NO. 3
Over Votes,,0.00%,0,STATE QUESTION NO. 3
Yes,,21.45%,89,STATE QUESTION NO. 4
No,,78.55%,326,STATE QUESTION NO. 4
Under Votes,,0.00%,0,STATE QUESTION NO. 4
Over Votes,,0.00%,0,STATE QUESTION NO. 4
Yes,,25.88%,103,STATE QUESTION NO. 5
No,,74.12%,295,STATE QUESTION NO. 5
Under Votes,,0.00%,0,STATE QUESTION NO. 5
Over Votes,,0.00%,0,STATE QUESTION NO. 5
Yes,,28.37%,118,STATE QUESTION NO. 6
No,,71.63%,298,STATE QUESTION NO. 6
Under Votes,,0.00%,0,STATE QUESTION NO. 6
Over Votes,,0.00%,0,STATE QUESTION NO. 6
Yes,,33.57%,139,STATE QUESTION NO. 7
No,,66.43%,275,STATE QUESTION NO. 7
Under Votes,,0.00%,0,STATE QUESTION NO. 7
Over Votes,,0.00%,0,STATE QUESTION NO. 7
