candidate,party,votes,percent,office
"HELLER, DEAN (Incumbent)",REPUBLICAN,646,80.05,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,56,14.04,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,228,57.14,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,115,28.82,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,10,1.22,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,298,36.25,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,8,0.97,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,57,6.93,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,412,50.12,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,37,4.50,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,41,10.33,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,35,8.82,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,29,7.30,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,231,58.19,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,61,15.37,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,566,70.75,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,154,19.25,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,80,10.00,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,213,27.38,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,281,36.12,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,284,36.50,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,312,40.26,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,209,26.97,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,254,32.77,ATTORNEY GENERAL (REPUBLICAN)
"SETTELMEYER, JAMES ARNOLD",REPUBLICAN,248,74.03,"STATE SENATE, CAPITAL SENATORIAL DISTRICT (REPUBLICAN)"
"YEATER, STEVE",REPUBLICAN,87,25.97,"STATE SENATE, CAPITAL SENATORIAL DISTRICT (REPUBLICAN)"
"EDWARDS, ALLISON",DEMOCRAT,119,63.98,"STATE SENATE, WASHOE DISTRICT 2 (DEMOCRATIC)"
"SCHMIDT, GARY R.",DEMOCRAT,67,36.02,"STATE SENATE, WASHOE DISTRICT 2 (DEMOCRATIC)"
"GUSTAVSON, DON",REPUBLICAN,269,61.98,"STATE SENATE, WASHOE DISTRICT 2 (REPUBLICAN)"
"LARKIN, BOB",REPUBLICAN,165,38.02,"STATE SENATE, WASHOE DISTRICT 2 (REPUBLICAN)"
"GLADWILL, GARY G.",REPUBLICAN,180,23.62,"STATE ASSEMBLY, DISTRICT 38 (REPUBLICAN)"
"GRADY, TOM",REPUBLICAN,582,76.38,"STATE ASSEMBLY, DISTRICT 38 (REPUBLICAN)"
"FERRY, CLIFF",NONPARTISAN,1090,100.00,"STATE BOARD OF EDUCATION, DISTRICT 10 (NONPARTISAN)"
"MCGUFFEY, JACK",DEMOCRAT,165,42.42,"COUNTY COMMISSION, DISTRICT 1 (DEMOCRATIC)"
"PRATER, LARRY",DEMOCRAT,224,57.58,"COUNTY COMMISSION, DISTRICT 1 (DEMOCRATIC)"
"HONEA, ANITA",REPUBLICAN,262,33.76,COUNTY ASSESSOR (REPUBLICAN)
"RYAN, LARRY",REPUBLICAN,256,32.99,COUNTY ASSESSOR (REPUBLICAN)
"SEDDON, JANA",REPUBLICAN,258,33.25,COUNTY ASSESSOR (REPUBLICAN)
"MADDOX, WILLIAM A.",REPUBLICAN,425,56.07,DISTRICT ATTORNEY (REPUBLICAN)
"NEIDERT, DAVE",REPUBLICAN,333,43.93,DISTRICT ATTORNEY (REPUBLICAN)
"DOTSON, DENY L. (Incumbent)",NONPARTISAN,1118,100.00,"SCHOOL BOARD TRUSTEE, SEAT 2A (NONPARTISAN)"
"SMITH, PAMELA J. (Incumbent)",NONPARTISAN,1141,100.00,"SCHOOL BOARD TRUSTEE, SEAT 2B (NONPARTISAN)"
"ANTINORO, GERALD",NONPARTISAN,622,43.71,SHERIFF - STOREY (NONPARTISAN)
"BOLLE, CHARLIE",NONPARTISAN,32,2.25,SHERIFF - STOREY (NONPARTISAN)
"DYKSTRA, DAVID",NONPARTISAN,223,15.67,SHERIFF - STOREY (NONPARTISAN)
"MIZELLE, STEVE L.",NONPARTISAN,95,6.68,SHERIFF - STOREY (NONPARTISAN)
"TYSON, JOHN",NONPARTISAN,451,31.69,SHERIFF - STOREY (NONPARTISAN)
"CLARK, MARVIN",NONPARTISAN,238,100.00,"CANYON G I D, SEAT 1A (NONPARTISAN)"
"GILBERT, ED",NONPARTISAN,241,100.00,"CANYON G I D, SEAT 1B (NONPARTISAN)"
"KITTRELL, JAMES G.",NONPARTISAN,247,100.00,"CANYON G I D, SEAT 2C (NONPARTISAN)"
"BLACKFORD, DEBBIE L.",NONPARTISAN,3,100.00,"TAHOE RENO INDUSTRIAL G I D, SEAT 1A (NONPARTISAN)"
