candidate,party,votes,percent,office
NONE OF THESE CANDIDATES,&nbsp;,570,19.57,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,2347,80.90,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,554,19.10,"SUPREME COURT JUSTICE, SEAT E"
"MELCHER, KEVIN C.",NONPARTISAN,1248,43.12,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"PUCCINELLI, MARGARET",NONPARTISAN,1646,56.88,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"BELL, EDWARD ""ROBIN""",REPUBLICAN,1081,33.47,COUNTY COMMISSIONER SEAT 1
"LEMICH, MICHAEL ""MIKE""",DEMOCRAT,1609,49.81,COUNTY COMMISSIONER SEAT 1
"WARD, JACK ""J.C.""",INDEPENDENT AMERICAN,540,16.72,COUNTY COMMISSIONER SEAT 1
"LAMPROS, JOHN S.",INDEPENDENT AMERICAN,1524,47.11,COUNTY COMMISSIONER SEAT 5
"MAKLEY, RALEENE",DEMOCRAT,658,20.34,COUNTY COMMISSIONER SEAT 5
"WARD, WILLIAM ""BILL""",REPUBLICAN,1053,32.55,COUNTY COMMISSIONER SEAT 5
"BRIGGS, KEVIN",REPUBLICAN,1461,46.99,DISTRICT ATTORNEY
"BROWN, KELLY",REPUBLICAN,1648,53.01,DISTRICT ATTORNEY
"BISHOP, ROBERT L.",DEMOCRAT,2729,100.00,COUNTY ASSESSOR
"BURLEIGH, LINDA ""LIN""",REPUBLICAN,1930,61.84,COUNTY CLERK
"MALONE, JOANN",REPUBLICAN,1191,38.16,COUNTY CLERK
"SINDELAR, MARTHA RIVERA",DEMOCRAT,2757,100.00,COUNTY RECORDER
"CORNUTT, BEVERLY",REPUBLICAN,2882,100.00,COUNTY TREASURER
