candidate,party,votes,percent,office
"OLSEN, PETE",REPUBLICAN,7941,100.00,COUNTY COMM DIST. 2 (CW)
"GREENWELL, KENNETH E.",INDEPENDENT AMERICAN,1564,18.27,CLERK/TREASURER
"HELTON, KELLY G.",REPUBLICAN,6998,81.73,CLERK/TREASURER
"MALLORY, ART",REPUBLICAN,7831,100.00,DISTRICT ATTORNEY
"GREEN, NORMA J.",REPUBLICAN,7286,83.20,COUNTY ASSESSOR
"MACKIE, STUART J.",DEMOCRAT,1471,16.80,COUNTY ASSESSOR
"SIMS, JOAN",REPUBLICAN,5129,58.89,COUNTY RECORDER
"TRIPP, VICKY L.",DEMOCRAT,3580,41.11,COUNTY RECORDER
"BROWN, JAN",REPUBLICAN,5261,65.59,PUBLIC ADMINISTRATOR
"WASHINGTON, DESIREE",REPUBLICAN,2760,34.41,PUBLIC ADMINISTRATOR
"BIRD, BRANDON",NONPARTISAN,2892,9.55,BOARD OF SCHOOL TRUSTEES - VF 4
"GAILEY, DENNIS K.",NONPARTISAN,4173,13.79,BOARD OF SCHOOL TRUSTEES - VF 4
"GENT, RICH",NONPARTISAN,4317,14.26,BOARD OF SCHOOL TRUSTEES - VF 4
"HENDRIX, CLAY",NONPARTISAN,3606,11.91,BOARD OF SCHOOL TRUSTEES - VF 4
"HYDE, MATT",NONPARTISAN,3453,11.41,BOARD OF SCHOOL TRUSTEES - VF 4
"LUDLOW, MIKE",NONPARTISAN,3602,11.90,BOARD OF SCHOOL TRUSTEES - VF 4
"MCFARLANE, NONA",NONPARTISAN,4823,15.93,BOARD OF SCHOOL TRUSTEES - VF 4
"SOMMER, JACOB",NONPARTISAN,3404,11.25,BOARD OF SCHOOL TRUSTEES - VF 4
"EWING, OLIVIA",NONPARTISAN,3972,18.35,MOSQUITO ABATEMENT DST -VF 3
"LATTIN, CHRISTY",NONPARTISAN,5152,23.80,MOSQUITO ABATEMENT DST -VF 3
"LINGENFELTER, JAY",NONPARTISAN,4108,18.98,MOSQUITO ABATEMENT DST -VF 3
"RUDDEN, RON J.",NONPARTISAN,3857,17.82,MOSQUITO ABATEMENT DST -VF 3
"SPENCER, MICHAEL",NONPARTISAN,4555,21.05,MOSQUITO ABATEMENT DST -VF 3
"INGRAM, RICHARD",NONPARTISAN,3726,42.93,SHERIFF
"TROTTER, BENJAMIN D.",NONPARTISAN,4953,57.07,SHERIFF
