candidate,party,votes,percent,office
"EVENSON, STEVE E.",NONPARTISAN,660,17.63,HOSPITAL DISTRICT PERSHING VF3
"HULTGREN, J. CAROLYN",NONPARTISAN,962,25.69,HOSPITAL DISTRICT PERSHING VF3
"RIEHM, JACK",NONPARTISAN,904,24.15,HOSPITAL DISTRICT PERSHING VF3
"SAFFORD, CHARLIE",NONPARTISAN,1218,32.53,HOSPITAL DISTRICT PERSHING VF3
"HUDSON, SHAYLA",NONPARTISAN,653,40.61,SCHOOL DIST. BOARD OF TRUSTEES SEAT A
"MOURA, ANTHONY",NONPARTISAN,955,59.39,SCHOOL DIST. BOARD OF TRUSTEES SEAT A
"LIST, JIM",NONPARTISAN,714,44.24,SCHOOL DIST. BOARD OF TRUSTEES SEAT C
"RICHARDSON, LAURA L.",NONPARTISAN,900,55.76,SCHOOL DIST. BOARD OF TRUSTEES SEAT C
"CLINGER, CARL F.",NONPARTISAN,1133,32.19,BIG MEADOW CONSERVATION DISTRICT -VF3
"DEPAOLI, ROBERT R.",NONPARTISAN,1198,34.03,BIG MEADOW CONSERVATION DISTRICT -VF3
"VESCO, VANCE R.",NONPARTISAN,1189,33.78,BIG MEADOW CONSERVATION DISTRICT -VF3
"BARRICK, DARLA",NONPARTISAN,195,6.78,LOVELOCK MEADOWS WATER DISTRICT -VF3
"CRIM, SHERI",NONPARTISAN,707,24.57,LOVELOCK MEADOWS WATER DISTRICT -VF3
"EVENSON, STACEY A.",NONPARTISAN,419,14.56,LOVELOCK MEADOWS WATER DISTRICT -VF3
"KING, RACHEL",NONPARTISAN,506,17.59,LOVELOCK MEADOWS WATER DISTRICT -VF3
"MOURA, THOMAS A.",NONPARTISAN,757,26.31,LOVELOCK MEADOWS WATER DISTRICT -VF3
"PLIMPTON, TODD A.",NONPARTISAN,293,10.18,LOVELOCK MEADOWS WATER DISTRICT -VF3
