candidate,party,votes,percent,office
"IMBACH, DIANE ""DEE DEE""",NONPARTISAN,82,20.92,ZEPHYR HEIGHTS G I D - 4 SEATS
"IRWIN, RUSS",NONPARTISAN,74,18.88,ZEPHYR HEIGHTS G I D - 4 SEATS
"SUTTER, ALLAN",NONPARTISAN,68,17.35,ZEPHYR HEIGHTS G I D - 4 SEATS
"VARZOS, TOMMY N.",NONPARTISAN,48,12.24,ZEPHYR HEIGHTS G I D - 4 SEATS
"MILLER, KEN",NONPARTISAN,880,25.04,TOWN OF GARDNERVILLE - 3 SEATS
"PHILIPS, MICHAEL",NONPARTISAN,844,24.02,TOWN OF GARDNERVILLE - 3 SEATS
"SLATER, LINDA",NONPARTISAN,1088,30.96,TOWN OF GARDNERVILLE - 3 SEATS
"SMITH, JERRY LEE",NONPARTISAN,702,19.98,TOWN OF GARDNERVILLE - 3 SEATS
"BERNARD, MATT",NONPARTISAN,715,19.27,TOWN OF MINDEN - 3 SEATS
"CONDRON, CHARLES",NONPARTISAN,673,18.14,TOWN OF MINDEN - 3 SEATS
"HELLWINKEL, ROBERT D.",NONPARTISAN,560,15.09,TOWN OF MINDEN - 3 SEATS
"POHLMAN, ROBERT",NONPARTISAN,502,13.53,TOWN OF MINDEN - 3 SEATS
"SOULIGNY, WILLIAM",NONPARTISAN,580,15.63,TOWN OF MINDEN - 3 SEATS
"STANGLE, ROXANNE",NONPARTISAN,680,18.33,TOWN OF MINDEN - 3 SEATS
