candidate,party,votes,percent,office
"WAGNER, JOHN",INDEPENDENT AMERICAN,212,11.30,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,106,5.65,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,143,7.63,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,504,26.89,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,1119,59.71,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,108,5.76,STATE TREASURER
"HERR, BARRY",REPUBLICAN,1114,59.38,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,150,8.00,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,464,24.73,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,148,7.89,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,991,52.85,ATTORNEY GENERAL
"CORTEZ  MASTO, CATHERINE (Incumbent)",DEMOCRAT,541,28.85,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,249,13.28,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,94,5.01,ATTORNEY GENERAL
"HANSEN, IRA",REPUBLICAN,381,55.70,"STATE ASSEMBLY, DISTRICT 32"
"STEPHENS, JODI",REPUBLICAN,303,44.30,"STATE ASSEMBLY, DISTRICT 32"
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,980,84.78,"STATE ASSEMBLY, DISTRICT 35"
"O'CONNOR, JOHN",DEMOCRAT,176,15.22,"STATE ASSEMBLY, DISTRICT 35"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,1368,78.22,"SUPREME COURT JUSTICE, SEAT A"
NONE OF THESE CANDIDATES,&nbsp;,381,21.78,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,1359,77.70,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,390,22.30,"SUPREME COURT JUSTICE, SEAT E"
"MELCHER, KEVIN C.",NONPARTISAN,704,40.84,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"PUCCINELLI, MARGARET",NONPARTISAN,1020,59.16,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"GARNER, BRIAN",REPUBLICAN,959,53.10,COUNTY COMM DIST. NO. 1 (CW)
"KESTER, BOB",REPUBLICAN,847,46.90,COUNTY COMM DIST. NO. 1 (CW)
"BULLOCK, DEAN",REPUBLICAN,1526,83.03,COUNTY COMM DIST. NO. 2 (CW)
"LAPEIRE, JUAN",DEMOCRAT,312,16.97,COUNTY COMM DIST. NO. 2 (CW)
"ITZA, DAVID",REPUBLICAN,810,44.60,COUNTY COMM DIST. NO. 5 (CW)
"MASON, DAVE",REPUBLICAN,1006,55.40,COUNTY COMM DIST. NO. 5 (CW)
"ELQUIST, ANGIE M",REPUBLICAN,1741,100.00,DISTRICT ATTORNEY
"DUVALL, LURA",REPUBLICAN,1688,100.00,COUNTY ASSESSOR
"GRAY, MARY ANN",REPUBLICAN,770,42.05,COUNTY CLERK
"SULLIVAN, SADIE",REPUBLICAN,1061,57.95,COUNTY CLERK
"TREVINO, IDONNA",REPUBLICAN,1727,100.00,COUNTY RECORDER
"POWRIE, GRACE",REPUBLICAN,1622,87.58,COUNTY TREASURER
"SAMPLE, TAMMY L",REPUBLICAN,230,12.42,COUNTY TREASURER
"FLORES, PAT",NONPARTISAN,776,41.21,SHERIFF
"UNGER, RON",NONPARTISAN,1107,58.79,SHERIFF
"ANCHO, KATHLEEN",NONPARTISAN,1044,16.43,"LANDER COUNTY SCHOOL TRUSTEE, AREA ONE"
"DAVIS, JOHN",NONPARTISAN,1072,16.87,"LANDER COUNTY SCHOOL TRUSTEE, AREA ONE"
"DAVIS, SUSAN",NONPARTISAN,1066,16.77,"LANDER COUNTY SCHOOL TRUSTEE, AREA ONE"
"HAMMERSMARK, MICHELE",NONPARTISAN,657,10.34,"LANDER COUNTY SCHOOL TRUSTEE, AREA ONE"
"LONGCHAMPS, DOUG",NONPARTISAN,1018,16.02,"LANDER COUNTY SCHOOL TRUSTEE, AREA ONE"
"MARILUCH, SHAWN",NONPARTISAN,845,13.30,"LANDER COUNTY SCHOOL TRUSTEE, AREA ONE"
"MELVER, TOBY A",NONPARTISAN,653,10.28,"LANDER COUNTY SCHOOL TRUSTEE, AREA ONE"
"LAKE, MARK",NONPARTISAN,585,32.48,"LANDER COUNTY SCHOOL TRUSTEE, AREA THREE"
"PENOLA, ANNA",NONPARTISAN,1216,67.52,"LANDER COUNTY SCHOOL TRUSTEE, AREA THREE"
