candidate,party,votes,percent,office
NONE OF THESE CANDIDATES,&nbsp;,487,10.89,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,1019,23.95,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,1755,41.25,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1481,34.81,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,1908,44.61,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,1136,26.56,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1233,28.83,ATTORNEY GENERAL (REPUBLICAN)
"ANDRUS, DALE E.",REPUBLICAN,1531,34.10,"STATE ASSEMBLY, DISTRICT 33 (REPUBLICAN)"
"ELLISON, JOHN",REPUBLICAN,2959,65.90,"STATE ASSEMBLY, DISTRICT 33 (REPUBLICAN)"
"FEEST, MARK",NONPARTISAN,610,9.34,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"MELCHER, KEVIN C.",NONPARTISAN,3168,48.50,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"PUCCINELLI, MARGARET",NONPARTISAN,2754,42.16,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"FERRY, CLIFF",NONPARTISAN,5578,100.00,"STATE BOARD OF EDUCATION, DISTRICT 10 (NONPARTISAN)"
"EKLUND-BROWN, SHERI",REPUBLICAN,1697,37.74,"COUNTY COMMISSION, DISTRICT 4 (REPUBLICAN)"
"WILLIAMS, R. JEFF",REPUBLICAN,2800,62.26,"COUNTY COMMISSION, DISTRICT 4 (REPUBLICAN)"
"ELLISON, JOYCE ""PEANUT""",REPUBLICAN,1266,28.31,COUNTY RECORDER (REPUBLICAN)
"ROACH, NATALIE",REPUBLICAN,1664,37.21,COUNTY RECORDER (REPUBLICAN)
"SMALES, D. MIKE",REPUBLICAN,1542,34.48,COUNTY RECORDER (REPUBLICAN)
"LOTSPEICH, DALE",NONPARTISAN,1730,25.62,SHERIFF - ELKO (NONPARTISAN)
"PITTS, JAMES",NONPARTISAN,3014,44.64,SHERIFF - ELKO (NONPARTISAN)
"WELLINGTON, KEN",NONPARTISAN,2008,29.74,SHERIFF - ELKO (NONPARTISAN)
"MAHLBERG, DANIEL",NONPARTISAN,5610,100.00,"SCHOOL BOARD TRUSTEE, DISTRICT 1 (NONPARTISAN)"
"BALLARD, THAD S.",NONPARTISAN,5702,100.00,"SCHOOL BOARD TRUSTEE, DISTRICT 6 (NONPARTISAN)"
"BASANEZ, LOUISE T.",NONPARTISAN,5675,100.00,"SCHOOL BOARD TRUSTEE, DISTRICT 7 (NONPARTISAN)"
