precinct,office,candidate,votes,jurisdiction
PAHRUMP 11,United States Senator (Democratic),None Of These Candidates,6,Nye
PAHRUMP 11,United States Senator (Democratic),"Price, Nancy",2,Nye
PAHRUMP 16,United States Senator (Democratic),"Berkley, Shelley",55,Nye
PAHRUMP 16,United States Senator (Democratic),"Brown, Steve",6,Nye
PAHRUMP 16,United States Senator (Democratic),"Ellsworth, Barry",4,Nye
PAHRUMP 16,United States Senator (Democratic),"Macias, Louis",0,Nye
PAHRUMP 16,United States Senator (Democratic),None Of These Candidates,6,Nye
PAHRUMP 16,United States Senator (Democratic),"Price, Nancy",8,Nye
PAHRUMP 17,United States Senator (Democratic),"Berkley, Shelley",63,Nye
PAHRUMP 17,United States Senator (Democratic),"Brown, Steve",4,Nye
PAHRUMP 17,United States Senator (Democratic),"Ellsworth, Barry",0,Nye
PAHRUMP 17,United States Senator (Democratic),"Macias, Louis",1,Nye
PAHRUMP 17,United States Senator (Democratic),None Of These Candidates,4,Nye
PAHRUMP 17,United States Senator (Democratic),"Price, Nancy",1,Nye
PAHRUMP 19,United States Senator (Democratic),"Berkley, Shelley",60,Nye
PAHRUMP 19,United States Senator (Democratic),"Brown, Steve",9,Nye
PAHRUMP 19,United States Senator (Democratic),"Ellsworth, Barry",3,Nye
PAHRUMP 19,United States Senator (Democratic),"Macias, Louis",3,Nye
PAHRUMP 19,United States Senator (Democratic),None Of These Candidates,11,Nye
PAHRUMP 19,United States Senator (Democratic),"Price, Nancy",12,Nye
PAHRUMP 20,United States Senator (Democratic),"Berkley, Shelley",26,Nye
PAHRUMP 20,United States Senator (Democratic),"Brown, Steve",0,Nye
PAHRUMP 20,United States Senator (Democratic),"Ellsworth, Barry",4,Nye
PAHRUMP 20,United States Senator (Democratic),"Macias, Louis",1,Nye
PAHRUMP 20,United States Senator (Democratic),None Of These Candidates,3,Nye
PAHRUMP 20,United States Senator (Democratic),"Price, Nancy",4,Nye
PAHRUMP 21,United States Senator (Democratic),"Berkley, Shelley",73,Nye
PAHRUMP 21,United States Senator (Democratic),"Brown, Steve",5,Nye
PAHRUMP 21,United States Senator (Democratic),"Ellsworth, Barry",2,Nye
PAHRUMP 21,United States Senator (Democratic),"Macias, Louis",4,Nye
PAHRUMP 21,United States Senator (Democratic),None Of These Candidates,6,Nye
PAHRUMP 21,United States Senator (Democratic),"Price, Nancy",9,Nye
PAHRUMP 22,United States Senator (Democratic),"Berkley, Shelley",43,Nye
PAHRUMP 22,United States Senator (Democratic),"Brown, Steve",0,Nye
PAHRUMP 22,United States Senator (Democratic),"Ellsworth, Barry",4,Nye
PAHRUMP 22,United States Senator (Democratic),"Macias, Louis",2,Nye
PAHRUMP 22,United States Senator (Democratic),None Of These Candidates,6,Nye
PAHRUMP 22,United States Senator (Democratic),"Price, Nancy",2,Nye
PAHRUMP 23,United States Senator (Democratic),"Berkley, Shelley",23,Nye
PAHRUMP 23,United States Senator (Democratic),"Brown, Steve",2,Nye
PAHRUMP 23,United States Senator (Democratic),"Ellsworth, Barry",1,Nye
PAHRUMP 23,United States Senator (Democratic),"Macias, Louis",2,Nye
PAHRUMP 23,United States Senator (Democratic),None Of These Candidates,3,Nye
PAHRUMP 23,United States Senator (Democratic),"Price, Nancy",2,Nye
PAHRUMP 24,United States Senator (Democratic),"Berkley, Shelley",33,Nye
PAHRUMP 24,United States Senator (Democratic),"Brown, Steve",5,Nye
PAHRUMP 24,United States Senator (Democratic),"Ellsworth, Barry",8,Nye
PAHRUMP 24,United States Senator (Democratic),"Macias, Louis",0,Nye
PAHRUMP 24,United States Senator (Democratic),None Of These Candidates,5,Nye
PAHRUMP 24,United States Senator (Democratic),"Price, Nancy",4,Nye
PAHRUMP 25,United States Senator (Democratic),"Berkley, Shelley",12,Nye
PAHRUMP 25,United States Senator (Democratic),"Brown, Steve",4,Nye
PAHRUMP 25,United States Senator (Democratic),"Ellsworth, Barry",2,Nye
PAHRUMP 25,United States Senator (Democratic),"Macias, Louis",0,Nye
PAHRUMP 25,United States Senator (Democratic),None Of These Candidates,3,Nye
PAHRUMP 25,United States Senator (Democratic),"Price, Nancy",3,Nye
PAHRUMP 26,United States Senator (Democratic),"Berkley, Shelley",35,Nye
PAHRUMP 26,United States Senator (Democratic),"Brown, Steve",7,Nye
PAHRUMP 26,United States Senator (Democratic),"Ellsworth, Barry",5,Nye
PAHRUMP 26,United States Senator (Democratic),"Macias, Louis",0,Nye
PAHRUMP 26,United States Senator (Democratic),None Of These Candidates,3,Nye
PAHRUMP 26,United States Senator (Democratic),"Price, Nancy",5,Nye
PAHRUMP 27,United States Senator (Democratic),"Berkley, Shelley",52,Nye
PAHRUMP 27,United States Senator (Democratic),"Brown, Steve",7,Nye
PAHRUMP 27,United States Senator (Democratic),"Ellsworth, Barry",1,Nye
PAHRUMP 27,United States Senator (Democratic),"Macias, Louis",2,Nye
PAHRUMP 27,United States Senator (Democratic),None Of These Candidates,8,Nye
PAHRUMP 27,United States Senator (Democratic),"Price, Nancy",11,Nye
PAHRUMP 28,United States Senator (Democratic),"Berkley, Shelley",48,Nye
PAHRUMP 28,United States Senator (Democratic),"Brown, Steve",3,Nye
PAHRUMP 28,United States Senator (Democratic),"Ellsworth, Barry",4,Nye
PAHRUMP 28,United States Senator (Democratic),"Macias, Louis",4,Nye
PAHRUMP 28,United States Senator (Democratic),None Of These Candidates,9,Nye
PAHRUMP 28,United States Senator (Democratic),"Price, Nancy",16,Nye
PAHRUMP 29,United States Senator (Democratic),"Berkley, Shelley",51,Nye
PAHRUMP 29,United States Senator (Democratic),"Brown, Steve",2,Nye
PAHRUMP 29,United States Senator (Democratic),"Ellsworth, Barry",6,Nye
PAHRUMP 29,United States Senator (Democratic),"Macias, Louis",1,Nye
PAHRUMP 29,United States Senator (Democratic),None Of These Candidates,9,Nye
PAHRUMP 29,United States Senator (Democratic),"Price, Nancy",3,Nye
PAHRUMP 30,United States Senator (Democratic),"Berkley, Shelley",42,Nye
PAHRUMP 30,United States Senator (Democratic),"Brown, Steve",5,Nye
PAHRUMP 30,United States Senator (Democratic),"Ellsworth, Barry",4,Nye
PAHRUMP 30,United States Senator (Democratic),"Macias, Louis",0,Nye
PAHRUMP 30,United States Senator (Democratic),None Of These Candidates,7,Nye
PAHRUMP 30,United States Senator (Democratic),"Price, Nancy",6,Nye
PAHRUMP 31,United States Senator (Democratic),"Berkley, Shelley",67,Nye
PAHRUMP 31,United States Senator (Democratic),"Brown, Steve",4,Nye
PAHRUMP 31,United States Senator (Democratic),"Ellsworth, Barry",6,Nye
PAHRUMP 31,United States Senator (Democratic),"Macias, Louis",2,Nye
PAHRUMP 31,United States Senator (Democratic),None Of These Candidates,4,Nye
PAHRUMP 31,United States Senator (Democratic),"Price, Nancy",10,Nye
PAHRUMP 32,United States Senator (Democratic),"Berkley, Shelley",80,Nye
PAHRUMP 32,United States Senator (Democratic),"Brown, Steve",13,Nye
PAHRUMP 32,United States Senator (Democratic),"Ellsworth, Barry",6,Nye
PAHRUMP 32,United States Senator (Democratic),"Macias, Louis",7,Nye
PAHRUMP 32,United States Senator (Democratic),None Of These Candidates,9,Nye
PAHRUMP 32,United States Senator (Democratic),"Price, Nancy",2,Nye
Precinct 99,United States Senator (Democratic),"Berkley, Shelley",0,Nye
Precinct 99,United States Senator (Democratic),"Brown, Steve",0,Nye
Precinct 99,United States Senator (Democratic),"Ellsworth, Barry",0,Nye
Precinct 99,United States Senator (Democratic),"Macias, Louis",0,Nye
Precinct 99,United States Senator (Democratic),None Of These Candidates,0,Nye
Precinct 99,United States Senator (Democratic),"Price, Nancy",0,Nye
ROUND MTN 12,United States Senator (Democratic),"Berkley, Shelley",8,Nye
ROUND MTN 12,United States Senator (Democratic),"Brown, Steve",1,Nye
ROUND MTN 12,United States Senator (Democratic),"Ellsworth, Barry",2,Nye
ROUND MTN 12,United States Senator (Democratic),"Macias, Louis",0,Nye
ROUND MTN 12,United States Senator (Democratic),None Of These Candidates,0,Nye
ROUND MTN 12,United States Senator (Democratic),"Price, Nancy",1,Nye
SMOKY VALLEY 35,United States Senator (Democratic),"Berkley, Shelley",6,Nye
SMOKY VALLEY 35,United States Senator (Democratic),"Brown, Steve",0,Nye
SMOKY VALLEY 35,United States Senator (Democratic),"Ellsworth, Barry",2,Nye
SMOKY VALLEY 35,United States Senator (Democratic),"Macias, Louis",0,Nye
SMOKY VALLEY 35,United States Senator (Democratic),None Of These Candidates,3,Nye
SMOKY VALLEY 35,United States Senator (Democratic),"Price, Nancy",3,Nye
TONOPAH 14,United States Senator (Democratic),"Berkley, Shelley",84,Nye
TONOPAH 14,United States Senator (Democratic),"Brown, Steve",20,Nye
TONOPAH 14,United States Senator (Democratic),"Ellsworth, Barry",9,Nye
TONOPAH 14,United States Senator (Democratic),"Macias, Louis",5,Nye
TONOPAH 14,United States Senator (Democratic),None Of These Candidates,37,Nye
TONOPAH 14,United States Senator (Democratic),"Price, Nancy",17,Nye
AMARGOSA VLY 06,United States Senator (Republican),"Brooks, Sherry",2,Nye
AMARGOSA VLY 06,United States Senator (Republican),"Charles, Richard",1,Nye
AMARGOSA VLY 06,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",5,Nye
AMARGOSA VLY 06,United States Senator (Republican),"Heller, Dean",58,Nye
AMARGOSA VLY 06,United States Senator (Republican),None Of These Candidates,4,Nye
AMARGOSA VLY 06,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
BEATTY 01,United States Senator (Republican),"Brooks, Sherry",2,Nye
BEATTY 01,United States Senator (Republican),"Charles, Richard",5,Nye
BEATTY 01,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",5,Nye
BEATTY 01,United States Senator (Republican),"Heller, Dean",55,Nye
BEATTY 01,United States Senator (Republican),None Of These Candidates,5,Nye
BEATTY 01,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
CURRANT 02,United States Senator (Republican),"Brooks, Sherry",2,Nye
CURRANT 02,United States Senator (Republican),"Charles, Richard",0,Nye
CURRANT 02,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Nye
CURRANT 02,United States Senator (Republican),"Heller, Dean",18,Nye
CURRANT 02,United States Senator (Republican),None Of These Candidates,0,Nye
CURRANT 02,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
FORTY BAR 18,United States Senator (Republican),"Brooks, Sherry",0,Nye
FORTY BAR 18,United States Senator (Republican),"Charles, Richard",1,Nye
FORTY BAR 18,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Nye
FORTY BAR 18,United States Senator (Republican),"Heller, Dean",10,Nye
FORTY BAR 18,United States Senator (Republican),None Of These Candidates,2,Nye
FORTY BAR 18,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
GABBS 04,United States Senator (Republican),"Brooks, Sherry",1,Nye
GABBS 04,United States Senator (Republican),"Charles, Richard",5,Nye
GABBS 04,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",5,Nye
GABBS 04,United States Senator (Republican),"Heller, Dean",32,Nye
GABBS 04,United States Senator (Republican),None Of These Candidates,2,Nye
GABBS 04,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
IONE 05,United States Senator (Republican),"Brooks, Sherry",0,Nye
IONE 05,United States Senator (Republican),"Charles, Richard",0,Nye
IONE 05,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Nye
IONE 05,United States Senator (Republican),"Heller, Dean",0,Nye
IONE 05,United States Senator (Republican),None Of These Candidates,0,Nye
IONE 05,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
MANHATTAN 07,United States Senator (Republican),"Brooks, Sherry",1,Nye
MANHATTAN 07,United States Senator (Republican),"Charles, Richard",0,Nye
MANHATTAN 07,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Nye
MANHATTAN 07,United States Senator (Republican),"Heller, Dean",20,Nye
MANHATTAN 07,United States Senator (Republican),None Of These Candidates,0,Nye
MANHATTAN 07,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Nye
PAHRUMP 09,United States Senator (Republican),"Brooks, Sherry",9,Nye
PAHRUMP 09,United States Senator (Republican),"Charles, Richard",10,Nye
PAHRUMP 09,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",22,Nye
PAHRUMP 09,United States Senator (Republican),"Heller, Dean",187,Nye
PAHRUMP 09,United States Senator (Republican),None Of These Candidates,10,Nye
PAHRUMP 09,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Nye
PAHRUMP 10,United States Senator (Republican),"Brooks, Sherry",5,Nye
PAHRUMP 10,United States Senator (Republican),"Charles, Richard",2,Nye
PAHRUMP 10,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",10,Nye
PAHRUMP 10,United States Senator (Republican),"Heller, Dean",57,Nye
PAHRUMP 10,United States Senator (Republican),None Of These Candidates,4,Nye
PAHRUMP 10,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Nye
PAHRUMP 11,United States Senator (Republican),"Brooks, Sherry",2,Nye
PAHRUMP 11,United States Senator (Republican),"Charles, Richard",1,Nye
PAHRUMP 11,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",5,Nye
PAHRUMP 11,United States Senator (Republican),"Heller, Dean",110,Nye
PAHRUMP 11,United States Senator (Republican),None Of These Candidates,3,Nye
PAHRUMP 11,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
PAHRUMP 16,United States Senator (Republican),"Brooks, Sherry",4,Nye
PAHRUMP 16,United States Senator (Republican),"Charles, Richard",1,Nye
PAHRUMP 16,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",7,Nye
PAHRUMP 16,United States Senator (Republican),"Heller, Dean",105,Nye
PAHRUMP 16,United States Senator (Republican),None Of These Candidates,9,Nye
PAHRUMP 16,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",2,Nye
PAHRUMP 17,United States Senator (Republican),"Brooks, Sherry",8,Nye
PAHRUMP 17,United States Senator (Republican),"Charles, Richard",3,Nye
PAHRUMP 17,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Nye
PAHRUMP 17,United States Senator (Republican),"Heller, Dean",96,Nye
PAHRUMP 17,United States Senator (Republican),None Of These Candidates,5,Nye
PAHRUMP 17,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
PAHRUMP 19,United States Senator (Republican),"Brooks, Sherry",13,Nye
PAHRUMP 19,United States Senator (Republican),"Charles, Richard",6,Nye
PAHRUMP 19,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",14,Nye
PAHRUMP 19,United States Senator (Republican),"Heller, Dean",221,Nye
PAHRUMP 19,United States Senator (Republican),None Of These Candidates,12,Nye
PAHRUMP 19,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Nye
PAHRUMP 20,United States Senator (Republican),"Brooks, Sherry",1,Nye
PAHRUMP 20,United States Senator (Republican),"Charles, Richard",7,Nye
PAHRUMP 20,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Nye
PAHRUMP 20,United States Senator (Republican),"Heller, Dean",65,Nye
PAHRUMP 20,United States Senator (Republican),None Of These Candidates,6,Nye
PAHRUMP 20,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",3,Nye
PAHRUMP 21,United States Senator (Republican),"Brooks, Sherry",5,Nye
PAHRUMP 21,United States Senator (Republican),"Charles, Richard",5,Nye
PAHRUMP 21,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",13,Nye
PAHRUMP 21,United States Senator (Republican),"Heller, Dean",109,Nye
PAHRUMP 21,United States Senator (Republican),None Of These Candidates,4,Nye
PAHRUMP 21,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Nye
PAHRUMP 22,United States Senator (Republican),"Brooks, Sherry",5,Nye
PAHRUMP 22,United States Senator (Republican),"Charles, Richard",5,Nye
PAHRUMP 22,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Nye
PAHRUMP 22,United States Senator (Republican),"Heller, Dean",81,Nye
PAHRUMP 22,United States Senator (Republican),None Of These Candidates,6,Nye
PAHRUMP 22,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
PAHRUMP 23,United States Senator (Republican),"Brooks, Sherry",2,Nye
PAHRUMP 23,United States Senator (Republican),"Charles, Richard",6,Nye
PAHRUMP 23,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Nye
PAHRUMP 23,United States Senator (Republican),"Heller, Dean",47,Nye
PAHRUMP 23,United States Senator (Republican),None Of These Candidates,7,Nye
PAHRUMP 23,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Nye
PAHRUMP 24,United States Senator (Republican),"Brooks, Sherry",3,Nye
PAHRUMP 24,United States Senator (Republican),"Charles, Richard",2,Nye
PAHRUMP 24,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",7,Nye
PAHRUMP 24,United States Senator (Republican),"Heller, Dean",97,Nye
PAHRUMP 24,United States Senator (Republican),None Of These Candidates,4,Nye
PAHRUMP 24,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Nye
PAHRUMP 25,United States Senator (Republican),"Brooks, Sherry",4,Nye
PAHRUMP 25,United States Senator (Republican),"Charles, Richard",4,Nye
PAHRUMP 25,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Nye
PAHRUMP 25,United States Senator (Republican),"Heller, Dean",68,Nye
PAHRUMP 25,United States Senator (Republican),None Of These Candidates,6,Nye
PAHRUMP 25,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
PAHRUMP 26,United States Senator (Republican),"Brooks, Sherry",10,Nye
PAHRUMP 26,United States Senator (Republican),"Charles, Richard",4,Nye
PAHRUMP 26,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",13,Nye
PAHRUMP 26,United States Senator (Republican),"Heller, Dean",51,Nye
PAHRUMP 26,United States Senator (Republican),None Of These Candidates,3,Nye
PAHRUMP 26,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",3,Nye
PAHRUMP 27,United States Senator (Republican),"Brooks, Sherry",3,Nye
PAHRUMP 27,United States Senator (Republican),"Charles, Richard",3,Nye
PAHRUMP 27,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",16,Nye
PAHRUMP 27,United States Senator (Republican),"Heller, Dean",122,Nye
PAHRUMP 27,United States Senator (Republican),None Of These Candidates,6,Nye
PAHRUMP 27,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Nye
PAHRUMP 28,United States Senator (Republican),"Brooks, Sherry",9,Nye
PAHRUMP 28,United States Senator (Republican),"Charles, Richard",3,Nye
PAHRUMP 28,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",6,Nye
PAHRUMP 28,United States Senator (Republican),"Heller, Dean",170,Nye
PAHRUMP 28,United States Senator (Republican),None Of These Candidates,8,Nye
PAHRUMP 28,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",2,Nye
PAHRUMP 29,United States Senator (Republican),"Brooks, Sherry",6,Nye
PAHRUMP 29,United States Senator (Republican),"Charles, Richard",6,Nye
PAHRUMP 29,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",15,Nye
PAHRUMP 29,United States Senator (Republican),"Heller, Dean",135,Nye
PAHRUMP 29,United States Senator (Republican),None Of These Candidates,7,Nye
PAHRUMP 29,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",3,Nye
PAHRUMP 30,United States Senator (Republican),"Brooks, Sherry",6,Nye
PAHRUMP 30,United States Senator (Republican),"Charles, Richard",1,Nye
PAHRUMP 30,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",10,Nye
PAHRUMP 30,United States Senator (Republican),"Heller, Dean",139,Nye
PAHRUMP 30,United States Senator (Republican),None Of These Candidates,7,Nye
PAHRUMP 30,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",5,Nye
PAHRUMP 31,United States Senator (Republican),"Brooks, Sherry",5,Nye
PAHRUMP 31,United States Senator (Republican),"Charles, Richard",9,Nye
PAHRUMP 31,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",17,Nye
PAHRUMP 31,United States Senator (Republican),"Heller, Dean",158,Nye
PAHRUMP 31,United States Senator (Republican),None Of These Candidates,10,Nye
PAHRUMP 31,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",3,Nye
PAHRUMP 32,United States Senator (Republican),"Brooks, Sherry",12,Nye
PAHRUMP 32,United States Senator (Republican),"Charles, Richard",6,Nye
PAHRUMP 32,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",31,Nye
PAHRUMP 32,United States Senator (Republican),"Heller, Dean",172,Nye
PAHRUMP 32,United States Senator (Republican),None Of These Candidates,6,Nye
PAHRUMP 32,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",2,Nye
Precinct 99,United States Senator (Republican),"Brooks, Sherry",0,Nye
Precinct 99,United States Senator (Republican),"Charles, Richard",0,Nye
Precinct 99,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Nye
Precinct 99,United States Senator (Republican),"Heller, Dean",0,Nye
Precinct 99,United States Senator (Republican),None Of These Candidates,0,Nye
Precinct 99,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
ROUND MTN 12,United States Senator (Republican),"Brooks, Sherry",5,Nye
ROUND MTN 12,United States Senator (Republican),"Charles, Richard",0,Nye
ROUND MTN 12,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Nye
ROUND MTN 12,United States Senator (Republican),"Heller, Dean",32,Nye
ROUND MTN 12,United States Senator (Republican),None Of These Candidates,3,Nye
ROUND MTN 12,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Nye
SMOKY VALLEY 35,United States Senator (Republican),"Brooks, Sherry",0,Nye
SMOKY VALLEY 35,United States Senator (Republican),"Charles, Richard",1,Nye
SMOKY VALLEY 35,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Nye
SMOKY VALLEY 35,United States Senator (Republican),"Heller, Dean",47,Nye
SMOKY VALLEY 35,United States Senator (Republican),None Of These Candidates,0,Nye
SMOKY VALLEY 35,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
SUNNYSIDE 13,United States Senator (Republican),"Brooks, Sherry",0,Nye
SUNNYSIDE 13,United States Senator (Republican),"Charles, Richard",0,Nye
SUNNYSIDE 13,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Nye
SUNNYSIDE 13,United States Senator (Republican),"Heller, Dean",0,Nye
SUNNYSIDE 13,United States Senator (Republican),None Of These Candidates,0,Nye
SUNNYSIDE 13,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Nye
TONOPAH 14,United States Senator (Republican),"Brooks, Sherry",24,Nye
TONOPAH 14,United States Senator (Republican),"Charles, Richard",9,Nye
TONOPAH 14,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",10,Nye
TONOPAH 14,United States Senator (Republican),"Heller, Dean",230,Nye
TONOPAH 14,United States Senator (Republican),None Of These Candidates,20,Nye
TONOPAH 14,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",3,Nye
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",0,Nye
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",11,Nye
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",1,Nye
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",3,Nye
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",1,Nye
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",5,Nye
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",26,Nye
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",22,Nye
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",1,Nye
