county,office,district,candidate,votes
Elko,U.S. Senate,,Jarrod Williams,94
Elko,U.S. Senate,,None Of These Candidates,723
Elko,U.S. Senate,,Tom Jones,394
Elko,U.S. Senate,,Tony Gumina,135
Elko,U.S. Senate,,Thomas Sawyer,360
Esmeralda,President,,Donald Trump,323
Esmeralda,President,,Darrell Castle,3
Esmeralda,President,,None Of These Candidates,11
Esmeralda,President,,Gary Johnson,15
Esmeralda,President,,Hillary Clinton,64
Esmeralda,President,,Roque De La Fuente,0
Esmeralda,State House,32,Ira Hansen,358
Esmeralda,U.S. House,4,Mike Little,13
Esmeralda,U.S. House,4,Steve Brown,17
Esmeralda,U.S. House,4,Cresent Hardy,323
Esmeralda,U.S. House,4,Ruben Kihuen,61
Esmeralda,U.S. Senate,,Joe Heck,307
Esmeralda,U.S. Senate,,Catherine Cortez Masto,64
Esmeralda,U.S. Senate,,Jarrod Williams,0
Esmeralda,U.S. Senate,,None Of These Candidates,13
Esmeralda,U.S. Senate,,Tony Gumina,4
Esmeralda,U.S. Senate,,Thomas Sawyer,3
Esmeralda,U.S. Senate,,Tom Jones,22
Eureka,President,,Donald Trump,723
Eureka,President,,Darrell Castle,8
Eureka,President,,None Of These Candidates,29
Eureka,President,,Gary Johnson,19
Eureka,President,,Hillary Clinton,74
Eureka,President,,Roque De La Fuente,1
Eureka,State House,33,John Ellison,722
Eureka,State Senate,19,Janine Hansen,155
Eureka,State Senate,19,Pete Goicoechea,679
Eureka,U.S. House,2,H.D. Evans,85
Eureka,U.S. House,2,Mark Amodei,699
Eureka,U.S. House,2,John Everhart,33
Eureka,U.S. House,2,Drew Knight,16
Eureka,U.S. Senate,,Joe Heck,692
Eureka,U.S. Senate,,Catherine Cortez Masto,88
Eureka,U.S. Senate,,Jarrod Williams,3
Eureka,U.S. Senate,,None Of These Candidates,29
Eureka,U.S. Senate,,Tom Jones,16
Eureka,U.S. Senate,,Tony Gumina,5
Eureka,U.S. Senate,,Thomas Sawyer,16
Humboldt,President,,Donald Trump,4513
Humboldt,President,,Darrell Castle,74
Humboldt,President,,None Of These Candidates,168
Humboldt,President,,Gary Johnson,269
Humboldt,President,,Hillary Clinton,1381
Humboldt,President,,Roque De La Fuente,15
Humboldt,State House,32,Ira Hansen,5553
Humboldt,U.S. House,2,H.D. Evans,1158
Humboldt,U.S. House,2,John Everhart,246
Humboldt,U.S. House,2,Drew Knight,135
Humboldt,U.S. House,2,Mark Amodei,4713
Humboldt,U.S. Senate,,Joe Heck,4393
Humboldt,U.S. Senate,,Catherine Cortez Masto,1403
Humboldt,U.S. Senate,,Jarrod Williams,31
Humboldt,U.S. Senate,,None Of These Candidates,235
Humboldt,U.S. Senate,,Tom Jones,127
Humboldt,U.S. Senate,,Tony Gumina,62
Humboldt,U.S. Senate,,Thomas Sawyer,125
Lander,President,,Donald Trump,1828
Lander,President,,Darrell Castle,16
Lander,President,,None Of These Candidates,77
Lander,President,,Gary Johnson,79
Lander,President,,Hillary Clinton,403
Lander,President,,Roque De La Fuente,10
Lander,State House,32,Ira Hansen,2144
Lander,U.S. House,2,H.D. Evans,376
Lander,U.S. House,2,John Everhart,87
Lander,U.S. House,2,Drew Knight,98
Lander,U.S. House,2,Mark Amodei,1781
Lander,U.S. Senate,,Joe Heck,1704
Lander,U.S. Senate,,Catherine Cortez Masto,417
Lander,U.S. Senate,,Jarrod Williams,33
Lander,U.S. Senate,,None Of These Candidates,113
Lander,U.S. Senate,,Tom Jones,54
Lander,U.S. Senate,,Tony Gumina,23
Lander,U.S. Senate,,Thomas Sawyer,49
Lincoln,President,,Gary Johnson,62
Lincoln,President,,Roque De La Fuente,5
Lincoln,President,,Donald Trump,1671
Lincoln,President,,Hillary Clinton,285
Lincoln,President,,Darrell Castle,25
Lincoln,President,,None Of These Candidates,84
Lincoln,State House,33,John Ellison,1179
Lincoln,State House,36,Dennis Hof,110
Lincoln,State House,36,James Oscarson,511
Lincoln,State Senate,19,Janine Hansen,468
Lincoln,State Senate,19,Pete Goicoechea,1519
Lincoln,U.S. House,4,Steve Brown,42
Lincoln,U.S. House,4,Ruben Kihuen,261
Lincoln,U.S. House,4,Mike Little,88
Lincoln,U.S. House,4,Cresent Hardy,1676
Lincoln,U.S. Senate,,Jarrod Williams,8
Lincoln,U.S. Senate,,Thomas Sawyer,27
Lincoln,U.S. Senate,,None Of These Candidates,91
Lincoln,U.S. Senate,,Tom Jones,51
Lincoln,U.S. Senate,,Joe Heck,1609
Lincoln,U.S. Senate,,Catherine Cortez Masto,315
Lincoln,U.S. Senate,,Tony Gumina,20
Lyon,President,,Gary Johnson,812
Lyon,President,,Roque De La Fuente,64
Lyon,President,,Donald Trump,16004
Lyon,President,,Hillary Clinton,6144
Lyon,President,,Darrell Castle,158
Lyon,President,,None Of These Candidates,575
Lyon,State House,38,George Dini,4445
Lyon,State House,38,Justin Smith,738
Lyon,State House,38,Wendy Cochran,586
Lyon,State House,38,Robin Titus,10541
Lyon,State House,39,Jim Wheeler,5458
Lyon,U.S. House,2,H.D. Evans,4790
Lyon,U.S. House,2,John Everhart,745
Lyon,U.S. House,2,Drew Knight,478
Lyon,U.S. House,2,Mark Amodei,12843
Lyon,U.S. House,4,Steve Brown,129
Lyon,U.S. House,4,Ruben Kihuen,826
Lyon,U.S. House,4,Mike Little,190
Lyon,U.S. House,4,Cresent Hardy,2971
Lyon,U.S. Senate,,Jarrod Williams,119
Lyon,U.S. Senate,,Thomas Sawyer,375
Lyon,U.S. Senate,,None Of These Candidates,780
Lyon,U.S. Senate,,Tom Jones,534
Lyon,U.S. Senate,,Joe Heck,15229
Lyon,U.S. Senate,,Catherine Cortez Masto,6322
Lyon,U.S. Senate,,Tony Gumina,216
Mineral,President,,Donald Trump,1177
Mineral,President,,Darrell Castle,19
Mineral,President,,None Of These Candidates,59
Mineral,President,,Gary Johnson,88
Mineral,President,,Hillary Clinton,636
Mineral,President,,Roque De La Fuente,15
Mineral,State House,32,Ira Hansen,1632
Mineral,U.S. House,4,Mike Little,121
Mineral,U.S. House,4,Steve Brown,92
Mineral,U.S. House,4,Cresent Hardy,1113
Mineral,U.S. House,4,Ruben Kihuen,579
Mineral,U.S. Senate,,Joe Heck,1139
Mineral,U.S. Senate,,Catherine Cortez Masto,626
Mineral,U.S. Senate,,Jarrod Williams,19
Mineral,U.S. Senate,,None Of These Candidates,89
Mineral,U.S. Senate,,Tony Gumina,20
Mineral,U.S. Senate,,Thomas Sawyer,45
Mineral,U.S. Senate,,Tom Jones,47
Nye,President,,Gary Johnson,552
Nye,President,,Roque De La Fuente,47
Nye,President,,Donald Trump,13321
Nye,President,,Hillary Clinton,5093
Nye,President,,Darrell Castle,164
Nye,President,,None Of These Candidates,414
Nye,State House,32,Ira Hansen,1143
Nye,State House,36,Dennis Hof,7475
Nye,State House,36,James Oscarson,9625
Nye,State Senate,19,Janine Hansen,5656
Nye,State Senate,19,Pete Goicoechea,11174
Nye,U.S. House,4,Steve Brown,896
Nye,U.S. House,4,Ruben Kihuen,4838
Nye,U.S. House,4,Mike Little,1209
Nye,U.S. House,4,Cresent Hardy,11982
Nye,U.S. Senate,,Jarrod Williams,182
Nye,U.S. Senate,,Thomas Sawyer,390
Nye,U.S. Senate,,None Of These Candidates,929
Nye,U.S. Senate,,Tom Jones,747
Nye,U.S. Senate,,Joe Heck,11608
Nye,U.S. Senate,,Catherine Cortez Masto,5252
Nye,U.S. Senate,,Tony Gumina,248
Pershing,President,,Donald Trump,1403
Pershing,President,,Darrell Castle,29
Pershing,President,,None Of These Candidates,56
Pershing,President,,Gary Johnson,58
Pershing,President,,Hillary Clinton,429
Pershing,President,,Roque De La Fuente,6
Pershing,State House,32,Ira Hansen,1697
Pershing,U.S. House,2,H.D. Evans,393
Pershing,U.S. House,2,John Everhart,68
Pershing,U.S. House,2,Drew Knight,50
Pershing,U.S. House,2,Mark Amodei,1405
Pershing,U.S. Senate,,Joe Heck,1286
Pershing,U.S. Senate,,Catherine Cortez Masto,466
Pershing,U.S. Senate,,Jarrod Williams,12
Pershing,U.S. Senate,,None Of These Candidates,77
Pershing,U.S. Senate,,Tom Jones,67
Pershing,U.S. Senate,,Tony Gumina,19
Pershing,U.S. Senate,,Thomas Sawyer,45
Storey,President,,Donald Trump,1615
Storey,President,,Darrell Castle,9
Storey,President,,None Of These Candidates,75
Storey,President,,Gary Johnson,100
Storey,President,,Hillary Clinton,752
Storey,President,,Roque De La Fuente,6
Storey,State House,39,Jim Wheeler,2041
Storey,U.S. House,2,H.D. Evans,693
Storey,U.S. House,2,Mark Amodei,1652
Storey,U.S. House,2,John Everhart,80
Storey,U.S. House,2,Drew Knight,51
Storey,U.S. Senate,,Joe Heck,1550
Storey,U.S. Senate,,Catherine Cortez Masto,791
Storey,U.S. Senate,,Jarrod Williams,7
Storey,U.S. Senate,,None Of These Candidates,83
Storey,U.S. Senate,,Tom Jones,58
Storey,U.S. Senate,,Tony Gumina,19
Storey,U.S. Senate,,Thomas Sawyer,34
Washoe,President,,Gary Johnson,9281
Washoe,President,,Roque De La Fuente,450
Washoe,President,,Donald Trump,94650
Washoe,President,,Hillary Clinton,97321
Washoe,President,,Darrell Castle,968
Washoe,President,,None Of These Candidates,7063
Washoe,State House,24,Jim Riger Sr.,6400
Washoe,State House,24,Amber Joiner,15227
Washoe,State House,25,Allen Smith,14246
Washoe,State House,25,Jill Tolles,21924
Washoe,State House,26,Lisa Krasner,30663
Washoe,State House,27,Teresa Benitez-Thompson,15078
Washoe,State House,27,Bonnie Weber,11581
Washoe,State House,30,Lauren Scott,9859
Washoe,State House,30,Michael Sprinkle,13550
Washoe,State House,31,Jill Dickman,15760
Washoe,State House,31,Richard Daly,15809
Washoe,State House,32,Ira Hansen,11600
Washoe,State House,40,John Wagner,387
Washoe,State House,40,Al Kramer,3747
Washoe,State House,40,Michael Greedy,1997
Washoe,State Senate,13,Julia Ratti,27266
Washoe,State Senate,13,Kent Bailey,15791
Washoe,State Senate,13,Brandon Jacobs,2406
Washoe,State Senate,15,Devon Reese,26765
Washoe,State Senate,15,David Colborne,3265
Washoe,State Senate,15,Heidi Gansert,33795
Washoe,U.S. House,2,H.D. Evans,87215
Washoe,U.S. House,2,John Everhart,5033
Washoe,U.S. House,2,Drew Knight,3807
Washoe,U.S. House,2,Mark Amodei,104678
Washoe,U.S. Senate,,Jarrod Williams,1198
Washoe,U.S. Senate,,Thomas Sawyer,2451
Washoe,U.S. Senate,,Joe Heck,97322
Washoe,U.S. Senate,,None Of These Candidates,7060
Washoe,U.S. Senate,,Tom Jones,2552
Washoe,U.S. Senate,,Catherine Cortez Masto,95694
Washoe,U.S. Senate,,Tony Gumina,1506
White Pine,President,,Donald Trump,2721
White Pine,President,,Darrell Castle,40
White Pine,President,,None Of These Candidates,138
White Pine,President,,Gary Johnson,151
White Pine,President,,Hillary Clinton,707
White Pine,President,,Roque De La Fuente,14
White Pine,State House,33,John Ellison,3249
White Pine,State Senate,19,Janine Hansen,824
White Pine,State Senate,19,Pete Goicoechea,2833
White Pine,U.S. House,4,Mike Little,217
White Pine,U.S. House,4,Steve Brown,159
White Pine,U.S. House,4,Cresent Hardy,2585
White Pine,U.S. House,4,Ruben Kihuen,718
White Pine,U.S. Senate,,Joe Heck,2589
White Pine,U.S. Senate,,Catherine Cortez Masto,723
White Pine,U.S. Senate,,Jarrod Williams,37
White Pine,U.S. Senate,,None Of These Candidates,168
White Pine,U.S. Senate,,Tony Gumina,29
White Pine,U.S. Senate,,Thomas Sawyer,94
White Pine,U.S. Senate,,Tom Jones,107
